component,state,installation,n_fire_sites,lon,lat,matched_name,coord_source,match_score
Air Force,Idaho,BOISE,2,-116.228289,43.562864,BOISE,EWG_2019,100.0
Air Force,Idaho,MOUNTAIN HOME AIR FORCE BASE,6,-115.86198,43.04441,MOUNTAIN HOME AIR FORCE BASE,EWG_2019,100.0
Air Force,Illinois,ABRAHAM LINCOLN CAPITAL AP,1,-89.678279,39.84403,ABRAHAM LINCOLN CAPITAL AP,EWG_2019,100.0
Air Force,Illinois,CHANUTE AFB,13,-88.14385,40.28891,CHANUTE AIR FORCE BASE,EWG_2019,100.0
Air Force,Illinois,GREATER PEORIA AIRPORT,1,-89.69576,40.66517,GREATER PEORIA AIRPORT,EWG_2019,100.0
Air Force,Illinois,O'HARE IAP ARS,2,-87.903141,41.987025,O'HARE IAP ARS,EWG_2019,100.0
Air Force,Illinois,SCOTT AIR FORCE BASE,3,-89.853655,38.543844,SCOTT AIR FORCE BASE,EWG_2019,100.0
Air Force,Indiana,FORT WAYNE,1,-85.176026,40.988342,FORT WAYNE,EWG_2019,100.0
Air Force,Indiana,GRISSOM ARB,4,-86.146386838,40.6525515490001,Grissom ARB,MIRTA,100.0
Air Force,Iowa,DES MOINES,2,-93.6588,41.53413,DES MOINES,EWG_2019,100.0
Air Force,Johnston Atoll,JOHNSTON ATOLL,1,,,,,
Air Force,Kansas,FORBES,1,-95.682679,38.964581,FORBES,EWG_2019,100.0
Air Force,Kansas,MCCONNELL AIR FORCE BASE,4,-97.25898,37.628223,MCCONNELL AIR FORCE BASE,EWG_2019,100.0
Air Force,Kentucky,LOUISVILLE IAP,1,-85.724691,38.177088,LOUISVILLE IAP,EWG_2019,100.0
Air Force,Louisiana,BARKSDALE AIR FORCE BASE,3,-93.65714,32.50186,BARKSDALE AIR FORCE BASE,EWG_2019,100.0
Air Force,Louisiana,ENGLAND AFB,6,-92.53874,31.32833,ENGLAND AIR FORCE BASE,EWG_2019,100.0
Air Force,Maine,LORING AFB,2,-67.89209,46.94559,LORING AIR FORCE BASE,EWG_2019,100.0
Air Force,Maryland,JB-ANDREWS,4,-76.88363,38.79652,JB-ANDREWS,EWG_2019,100.0
Air Force,Maryland,MARTIN STATE AIRPORT,2,-76.419669,39.333295,MARTIN STATE AIRPORT,EWG_2019,100.0
Air Force,Massachusetts,BARNES MUNICIPAL AIRPORT,2,-72.71561,42.1584,BARNES MUNICIPAL AIRPORT,EWG_2019,100.0
Air Force,Massachusetts,HANSCOM,3,-71.27669,42.45723,HANSCOM,EWG_2019,100.0
Air Force,Massachusetts,JB-CAPE COD,3,-70.57009,41.67177,JB-CAPE COD,EWG_2019,100.0
Air Force,Massachusetts,WESTOVER,3,-72.54381,42.19911,WESTOVER,EWG_2019,100.0
Air Force,Michigan,ALPENA COUNTY REGIONAL AIRPORT,3,-83.56359,45.0722,ALPENA COUNTY REGIONAL AIRPORT,EWG_2019,100.0
Air Force,Michigan,K.I. SAWYER AFB,4,-87.38786,46.34232,K.I. SAWYER AIR FORCE BASE,EWG_2019,100.0
Air Force,Michigan,SELFRIDGE,3,-82.819348,42.60466,SELFRIDGE,EWG_2019,100.0
Air Force,Michigan,W K KELLOGG,2,-85.24888,42.31933,W K KELLOGG,EWG_2019,100.0
Air Force,Michigan,WURTSMITH AFB,3,-83.38028,44.4525,WURTSMITH AIR FORCE BASE,EWG_2019,100.0
Air Force,Minnesota,DULUTH INTERNATIONAL AIRPORT,2,-92.18001,46.83875,DULUTH INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,Mississippi,COLUMBUS AIR FORCE BASE,4,-88.45008,33.64147,COLUMBUS AIR FORCE BASE,EWG_2019,100.0
Air Force,Mississippi,GULFPORT BILOXI REGIONAL AIRPORT,1,-89.00291,30.40589,GULFPORT BILOXI REGIONAL AIRPORT,EWG_2019,100.0
Air Force,Mississippi,JACKSON IAP (ALLEN C THOMPSON),1,-90.078858,32.322893,JACKSON IAP (ALLEN C THOMPSON),EWG_2019,100.0
Air Force,Mississippi,KEESLER,1,-88.92527,30.40942,KEESLER,EWG_2019,100.0
Air Force,Mississippi,KEY FIELD,4,-88.74515,32.33355,KEY FIELD,EWG_2019,100.0
Air Force,Missouri,RICHARDS-GEBAUR AFB,2,-94.54374,38.84182,RICHARDS-GEBAUR AIR FORCE BASE,EWG_2019,100.0
Air Force,Missouri,ROSECRANS MEM,2,-94.90159,39.76946,ROSECRANS MEM,EWG_2019,100.0
Air Force,Missouri,WHITEMAN AIR FORCE BASE,1,-93.56055,38.729,WHITEMAN AIR FORCE BASE,EWG_2019,100.0
Air Force,Montana,GREAT FALLS INTERNATIONAL AIRPORT,4,-111.35663,47.4825,GREAT FALLS INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,Montana,MALMSTROM AIR FORCE BASE,1,-111.17906,47.50426,MALMSTROM AIR FORCE BASE,EWG_2019,100.0
Air Force,Nebraska,OFFUTT,3,-95.917138,41.118655,OFFUTT,EWG_2019,100.0
Air Force,Nevada,CREECH AIR FORCE BASE,1,-115.672257,36.588476,CREECH AIR FORCE BASE,EWG_2019,100.0
Air Force,Nevada,NELLIS AIR FORCE BASE,3,-115.032896,36.236633,NELLIS AIR FORCE BASE,EWG_2019,100.0
Air Force,Nevada,NELLIS RANGES ALL,8,-115.032896,36.236633,NELLIS RANGES ALL,EWG_2019,100.0
Air Force,Nevada,RENO TAHOE INTERNATIONAL AIRPORT,6,-119.7681,39.49959,RENO TAHOE INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,Nevada,TONOPAH AIR FORCE STATION,1,-116.772509,37.797991,TONOPAH AIR FORCE STATION,EWG_2019,100.0
Air Force,New Hampshire,NEW BOSTON,1,-71.62845,42.94671,NEW BOSTON,EWG_2019,100.0
Air Force,New Hampshire,PEASE AFB,3,-70.81676,43.08953,PEASE AIR FORCE BASE,EWG_2019,100.0
Air Force,New Jersey,JBMDL-DIX,1,-74.61826,40.02957,JBMDL-DIX,EWG_2019,100.0
Air Force,New Jersey,JBMDL-LAKEHURST,3,-74.61826,40.02957,JBMDL-DIX,EWG_2019,100.0
Air Force,New Jersey,JBMDL-MCGUIRE,6,-74.61826,40.02957,JBMDL-DIX,EWG_2019,100.0
Air Force,New Mexico,CANNON,5,-103.3183,34.38978,CANNON,EWG_2019,100.0
Air Force,New Mexico,HOLLOMAN,1,-106.093948,32.846798,HOLLOMAN,EWG_2019,100.0
Air Force,New Mexico,KIRTLAND,4,-106.594784,35.041988,KIRTLAND,EWG_2019,100.0
Air Force,New York,FRANCIS S. GABRESKI (WEST HAMPTON),1,-72.63228,40.842,FRANCIS S. GABRESKI (WEST HAMPTON),EWG_2019,100.0
Air Force,New York,HANCOCK ANG,1,-76.10458,43.10236,HANCOCK ANG,EWG_2019,100.0
Air Force,New York,NIAGARA FALLS,3,-78.94156,43.11631,NIAGARA FALLS,EWG_2019,100.0
Air Force,New York,PLATTSBURGH AFB,2,-73.4479,44.68355,PLATTSBURGH AIR FORCE BASE,EWG_2019,100.0
Air Force,New York,ROME RESEARCH SITE,4,-75.40526,43.23034,ROME RESEARCH SITE,EWG_2019,100.0
Air Force,New York,ROSLYN ANGB,1,-73.626944,40.796389,ROSLYN ANGB,EWG_2019,100.0
Air Force,New York,SCHENECTADY CO,1,-73.923621,42.852947,SCHENECTADY CO,EWG_2019,100.0
Air Force,North Carolina,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT,1,-80.94732,35.2144,CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT,EWG_2019,100.0
Air Force,North Carolina,SEYMOUR JOHNSON AIR FORCE BASE,3,-77.96205,35.34337,SEYMOUR JOHNSON AIR FORCE BASE,EWG_2019,100.0
Air Force,North Dakota,CAVALIER AIR FORCE STATION,2,-97.907558,48.724793,CAVALIER AIR FORCE STATION,EWG_2019,100.0
Air Force,North Dakota,GRAND FORKS AIR FORCE BASE,1,-97.395721,47.964128,GRAND FORKS AIR FORCE BASE,EWG_2019,100.0
Air Force,North Dakota,HECTOR IAP,1,-96.81801,46.92234,HECTOR IAP,EWG_2019,100.0
Air Force,North Dakota,MINOT,1,-101.33867,48.41575,MINOT,EWG_2019,100.0
Air Force,Ohio,AIR FORCE PLANT 85,1,-82.88737,39.98918,AIR FORCE PLANT 85,EWG_2019,100.0
Air Force,Ohio,GENTILE AFS,1,,,,,
Air Force,Ohio,MANSFIELD LAHM,3,-82.512374,40.813702,MANSFIELD LAHM,EWG_2019,100.0
Air Force,Ohio,NEWARK AFB,2,-82.47003,40.02155,NEWARK AIR FORCE BASE,EWG_2019,100.0
