component,state,installation,n_fire_sites,lon,lat,matched_name,coord_source,match_score
Army,Virginia,VINT HILL FARMS STATION,1,-77.672,38.748,VINT HILL FARMS STATION,EWG_2019,100.0
Army,Washington,JOINT BASE LEWIS-MCCHORD,8,-122.478436,47.129441,JOINT BASE LEWIS-MCCHORD,EWG_2019,100.0
Army,Washington,YAKIMA TRAINING CENTER,1,-120.356986,46.682467,YAKIMA TRAINING CENTER,EWG_2019,100.0
Army,Wisconsin,FORT MCCOY,2,-90.68499,44.01493,FORT MCCOY,EWG_2019,100.0
DLA,California,"DD SAN JOAQUIN, SHARPE FACILITY",1,-121.267958,37.839551,"DEFENSE DEPOT SAN JOAQUIN, SHARPE FACILITY FACILITY",EWG_2019,94.73684210526315
DLA,Pennsylvania,"DD SUSQUEHANNA, NEW CUMBERLAND FAC.",1,-76.83877,40.211586,"DEFENSE DEPOT SUSQUEHANNA, NEW CUMBERLAND FACILITY",EWG_2019,88.13559322033899
DLA,Virginia,DSC RICHMOND,1,-77.50101,37.5848,DEFENSE SUPPLY CENTER RICHMOND,EWG_2019,80.0
Navy,Alaska,ADAK NAS,2,-176.646111,51.878056,ADAK NAVAL AIR STATION,EWG_2019,100.0
Navy,Arizona,YUMA MCAS,2,-114.62769,32.69265,YUMA MARINE CORP AIR STATION,EWG_2019,100.0
Navy,California,ALAMEDA NAS,1,-122.24164,37.76521,ALAMEDA NAVAL AIR STATION,EWG_2019,100.0
Navy,California,CAMP PENDLETON MCB,2,-117.3209991,33.31779861,CAMP PENDLETON MARINE CORP BASE,EWG_2019,87.5
Navy,California,CHINA LAKE NAWS,2,-117.65744,35.65517,CHINA LAKE NAVAL AIR WEAPONS STATION,EWG_2019,80.0
Navy,California,CROWS LANDING NALF,1,-121.109123,37.406864,CROWS LANDING NAVAL AUXILLIARY LANDING FIELD,EWG_2019,83.87096774193549
Navy,California,EL CENTRO NAF,5,-115.662971,32.820229,EL CENTRO NAVAL AIR FIELD,EWG_2019,81.81818181818181
Navy,California,EL TORO MCAS,2,-117.72563,33.66757,EL TORO MARINE CORP AIR STATION,EWG_2019,100.0
Navy,California,IMPERIAL BEACH OLF,1,-117.111667,32.563333,IMPERIAL BEACH OUTLYING LANDING FIELD,EWG_2019,87.5
Navy,California,LEMOORE NAS,2,-119.910199,36.261151,LEMOORE NAVAL AIR STATION,EWG_2019,100.0
Navy,California,LONG BEACH NS SAN PEDRO,1,-118.231111,33.757222,LONG BEACH NAVAL STATION SAN PEDRO,EWG_2019,93.02325581395348
Navy,California,MIRAMAR MCAS,1,-117.142516,32.871825,MIRAMAR MARINE CORP AIR STATION,EWG_2019,100.0
Navy,California,MOFFETT FIELD NAS,1,-122.050852,37.410921,MOFFETT FIELD NAVAL AIR STATION,EWG_2019,100.0
Navy,California,POINT MUGU NAWS,2,-119.09972,34.111797,POINT MUGU NAVAL AIR WEAPONS STATION,EWG_2019,80.0
Navy,California,SAN CLEMENTE ISLAND NALF,1,-118.584899,33.020577,SAN CLEMENTE ISLAND NAVAL AUXILLIARY LANDING FIELD,EWG_2019,88.37209302325581
Navy,California,SAN DIEGO FASWTC PAC,1,-117.218197,32.725406,SAN DIEGO FLEET ANTI-SUBMARINE TRAINING CENTER,EWG_2019,92.47311827956989
Navy,California,SAN DIEGO NS,1,-117.218197,32.725406,SAN DIEGO FLEET ANTI-SUBMARINE TRAINING CENTER,EWG_2019,85.71428571428571
Navy,California,SAN DIEGO NTC,1,-117.218197,32.725406,SAN DIEGO FLEET ANTI-SUBMARINE TRAINING CENTER,EWG_2019,81.81818181818181
Navy,California,SAN NICOLAS ISLAND OLF,1,-119.463333,33.241557,SAN NICOLAS ISLAND OUTLYING LANDING FIELD,EWG_2019,90.0
Navy,California,SEAL BEACH NWS,1,-118.10477,33.74141,SEAL BEACH NAVAL AIR WEAPONS STATION,EWG_2019,83.33333333333333
Navy,California,STOCKTON NCS,1,-121.359369,37.950756,STOCKTON NAVAL COMMAND STATION,EWG_2019,80.0
Navy,California,TREASURE ISLAND NS,1,-122.37065,37.82355,TREASURE ISLANDNAVAL STATION,EWG_2019,90.9090909090909
Navy,California,TUSTIN MCAS,1,-117.82364,33.742,TUSTIN MARINE CORP AIR STATION,EWG_2019,100.0
Navy,California,TWENTYNINE PALMS MCAGCC,5,-116.05417,34.13556,TWENTYNINE PALMS MCAGCC,EWG_2019,100.0
Navy,Connecticut,BLOOMFIELD NWIRP,1,-72.708111,41.870073,BLOOMFIELD NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,EWG_2019,100.0
Navy,District of Columbia,ANACOSTIA NS,1,-77.012544,38.847102,ANACOSTIA NAVAL STATION,EWG_2019,85.71428571428571
Navy,Florida,CECIL FIELD NAS,2,-81.882948,30.220866,CECIL FIELDNAVAL AIR STATION,EWG_2019,100.0
Navy,Florida,JACKSONVILLE NAS,2,-81.6806,30.2243,JACKSONVILLENAVAL AIR STATION,EWG_2019,100.0
Navy,Florida,KEY WEST NAS,1,-81.77444,24.578507,KEY WESTNAVAL AIR STATION,EWG_2019,100.0
Navy,Florida,MAYPORT NS,1,-81.40775,30.388797,MAYPORTNAVAL STATION,EWG_2019,82.35294117647058
Navy,Florida,PANAMA CITY CSS,3,-85.752542,30.175021,PANAMA CITY COASTAL SYSTEMS STATION,EWG_2019,84.61538461538461
Navy,Florida,PENSACOLA NAS,3,-87.28855,30.35518,PENSACOLANAVAL AIR STATION,EWG_2019,100.0
Navy,Florida,SAUFLEY FIELD NAS,1,-87.34097,30.46957,SAUFLEY FIELDNAVAL AIR STATION,EWG_2019,100.0
Navy,Florida,WHITING FIELD NAS,4,-87.01858,30.714,WHITING FIELDNAVAL AIR STATION,EWG_2019,100.0
Navy,Georgia,KINGS BAY NSB,1,-81.551147,30.797548,KINGS BAY NAVAL STATION B,EWG_2019,81.81818181818181
Navy,Guam,AGANA NAS,1,,,,,
Navy,Guam,GUAM NAVACTS,2,,,,,
Navy,Guam,NSA ANDERSEN GUAM,8,144.8981435,13.596922954,Andersen Air Force Base,MIRTA,80.0
Navy,Hawaii,BARBERS POINT NAS,1,-158.05192429,21.3218672890001,CSO Barbers Point HI,MIRTA,86.66666666666667
Navy,Hawaii,BARKING SANDS PMRF,2,-159.78258,22.035466,BARKING SANDS PACIFIC MISSILE RANGE FACILITY,EWG_2019,83.87096774193549
Navy,Hawaii,KANEOHE BAY MCB,1,-157.767765,21.449989,KANEOHE BAY MARINE CORP BASE,EWG_2019,84.61538461538461
Navy,Hawaii,PEARL HARBOR NS,2,-157.949497628,21.3388531900001,Joint Base Pearl Harbor-Hickam,MIRTA,88.88888888888889
Navy,Illinois,GLENVIEW NAS,2,-87.815182,42.091644,GLENVIEWNAVAL AIR STATION,EWG_2019,100.0
Navy,Louisiana,NEW ORLEANS NAS,1,-90.036043,29.822297,NEW ORLEANSNAVAL AIR STATION,EWG_2019,100.0
Navy,Maine,BRUNSWICK NAS,1,-69.93193,43.90165,BRUNSWICKNAVAL AIR STATION,EWG_2019,100.0
Navy,Maine,CUTLER NCTS,3,-67.20387,44.65758,CUTLER NAVAL COMPUTER AND TELECOMMUNICATIONS STATION,EWG_2019,100.0
Navy,Maryland,BAINBRIDGE NTC,1,-76.099599,39.605757,BAINBRIDGE NAVAL TRAINING CENTER,EWG_2019,83.33333333333333
Navy,Massachusetts,SOUTH WEYMOUTH NAS,1,-70.94532,42.10482,SOUTH WEYMOUTHNAVAL AIR STATION,EWG_2019,100.0
Navy,Mississippi,GULFPORT NCBC,1,-89.1263993009999,30.377948105,CBC Gulfport MS,MIRTA,85.71428571428571
Navy,Mississippi,MERIDIAN NAS,2,-88.57103,32.55747,MERIDIANNAVAL AIR STATION,EWG_2019,100.0
Navy,Nevada,FALLON NAS,1,-118.721494,39.420692,FALLONNAVAL AIR STATION,EWG_2019,100.0
Navy,New Jersey,COLTS NECK NWS EARLE,2,-74.17237,40.28761,COLTS NECK NAVAL AIR WEAPONS STATION EARLE,EWG_2019,88.88888888888889
Navy,New Jersey,TRENTON NAWC,1,-74.75972,40.22058,TRENTON NAVAL AIR WARFARE CENTER,EWG_2019,100.0
Navy,New York,CALVERTON NWIRP,1,-72.66204,40.91704,CALVERTON NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,EWG_2019,100.0
Navy,North Carolina,CAMP LEJEUNE MCB,1,-77.40274,34.629312,CAMP LEJEUNE MARINE CORP BASE,EWG_2019,85.71428571428571
Navy,North Carolina,CHERRY POINT MCAS,3,-76.881904,34.902642,CHERRY POINT MARINE CORP AIR STATION,EWG_2019,100.0
Navy,Pennsylvania,PHILADELPHIA NS,1,-75.169705,39.892452,PHILADELPHIANAVAL STATION,EWG_2019,88.88888888888889
Navy,Pennsylvania,WARMINSTER NAWC,1,-75.09980011,40.20679855,WARMINSTER NAWC,EWG_2019,100.0
Navy,Pennsylvania,WILLOW GROVE NAS,1,-75.14024,40.20581,WILLOW GROVENAVAL AIR STATION,EWG_2019,100.0
Navy,Puerto Rico,PUERTO RICO NAVACT,2,,,,,
Navy,Puerto Rico,ROOSEVELT ROADS NS,1,,,,,
Navy,Rhode Island,DAVISVILLE NCBC,1,-71.440414,41.605397,DAVISVILLE NAVAL CONSTRUCTION BATTALION CENTER,EWG_2019,80.0
Navy,Rhode Island,NEWPORT NETC,1,-71.31283,41.4901,NEWPORT NETC,EWG_2019,100.0
Navy,South Carolina,BEAUFORT MCAS,3,-80.717384,32.475688,BEAUFORT MARINE CORP AIR STATION,EWG_2019,100.0
Navy,South Carolina,CHARLESTON NS,3,-80.06915,32.89098,CHARLESTONNAVAL STATION,EWG_2019,86.95652173913044
Navy,South Carolina,PARRIS ISLAND MCRD,3,-80.680256,32.320067,PARRIS ISLAND MARINE CORPS RECRUIT DEPOT,EWG_2019,83.87096774193549
Navy,Tennessee,MEMPHIS NAS,2,-89.89731,35.34147,MEMPHISNAVAL AIR STATION,EWG_2019,100.0
Navy,Texas,CHASE FIELD NAS,2,-97.660211,28.361282,CHASE FIELDNAVAL AIR STATION,EWG_2019,100.0
Navy,Texas,CORPUS CHRISTI NAS,1,-97.660211,28.361282,CORPUS CHRISTINAVAL AIR STATION,EWG_2019,100.0
Navy,Texas,DALLAS NAS,9,-96.79699,32.77666,DALLASNAVAL AIR STATION,EWG_2019,100.0
Navy,Texas,FT WORTH TX NAS JRB,1,-97.429380076,32.7755794,NAS Fort Worth JRB TX,MIRTA,100.0
Navy,Texas,KINGSVILLE NAS,1,-97.809709,27.505251,KINGSVILLENAVAL AIR STATION,EWG_2019,100.0
Navy,Virginia,CRANEY ISLAND FISC,1,-76.358748,36.891512,CRANEY ISLAND FLEET INDUSTRIAL SUPPLY CENTER,EWG_2019,83.87096774193549
Navy,Virginia,LITTLE CREEK NAB,1,-76.186791,36.914433,LITTLE CREEK NAVAL AIR BASE,EWG_2019,85.71428571428571
Navy,Virginia,NORFOLK COMNAVBASE,1,-76.28587,36.85077,NORFOLK COMNAVBASE,EWG_2019,100.0
Navy,Virginia,OCEANA NAS,3,-76.13754,36.89301,OCEANANAVAL AIR STATION,EWG_2019,100.0
Navy,Virginia,QUANTICO MCB,1,-77.304832,38.503018,QUANTICO MARINE CORPS BASE,EWG_2019,80.0
Navy,Virginia,ST JULIEN'S CREEK ANNEX,1,-76.322981,36.793357,ST JULIEN'S CREEK ANNEX,EWG_2019,100.0
Navy,Virginia,YORKTOWN NWS,1,-76.547406,37.237662,YORKTOWN NAVAL AIR WEAPONS STATION,EWG_2019,80.0
Navy,Washington,WHIDBEY ISLAND NAS,4,-122.66769,48.34413,WHIDBEY ISLANDNAVAL AIR STATION,EWG_2019,100.0
