OBJECTID,SE_ANNO_CAD_DATA,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,x,y
114,System.Byte[],usa,na,Fort Shafter,no,yes,no,na, ,,Fort Shafter,act,usa,HI,-157.883504121,21.3458395650001
115,System.Byte[],usa,na,Fort Sill,no,yes,no,na, ,,Fort Sill,act,usa,OK,-98.5191803289999,34.6813451990001
116,System.Byte[],usa,na,Fort Stewart,no,yes,no,na, ,,Fort Stewart,act,usa,GA,-81.6167684389999,31.9936303280001
117,System.Byte[],usa,na,Fort Wainwright,no,yes,no,na, ,,Fort Wainwright,act,usa,AK,-147.708817653,64.545239667
118,System.Byte[],usa,na,Fort Wingate Depot Activity,no,no,no,na, ,,Fort Wingate Depot Activity,clsd,usa,NM,-108.595808472,35.4768270320001
119,System.Byte[],usa,na,NG Fort Wolters,no,no,no,na, ,,NG Fort Wolters,act,armyNationalGuard,TX,-98.0483942129999,32.849373294
120,System.Byte[],usa,na,NG Fort Worth - Shoreview,no,no,no,na, ,,NG Fort Worth - Shoreview,act,armyNationalGuard,TX,-97.460192633,32.778259188
121,System.Byte[],usa,na,NG Frankfort Boone NG Center,no,no,no,na, ,,NG Frankfort Boone NG Center,act,armyNationalGuard,KY,-84.914634307,38.1826747800001
122,System.Byte[],usa,na,NG Ft Allen Rq 177,no,no,no,na, ,,NG Ft Allen Rq 177,act,armyNationalGuard,PR,-66.5040673249999,18.0068320240001
123,System.Byte[],usa,na,NG Ft Ruger,no,no,no,na, ,,NG Ft Ruger,act,armyNationalGuard,HI,-157.805123367,21.262823693
124,System.Byte[],usa,na,Goldberg Stagefield AL,no,no,no,na, ,,Goldberg Stagefield AL,act,usa,AL,-85.463402511,31.4151606030001
125,System.Byte[],usa,na,NG Grand Island AASF/RC,no,no,no,na, ,,NG Grand Island AASF/RC,act,armyNationalGuard,NE,-98.29879207,40.9618174340001
126,System.Byte[],usa,na,Grand Prairie Reserve Complex,no,no,no,na, ,,Grand Prairie Reserve Complex,act,usar,TX,-96.9564404389999,32.739958121
127,System.Byte[],usa,na,Green River Test Complex UT,no,no,no,na, ,,Green River Test Complex UT,semi,usa,UT,-110.092321076,38.9619027260001
128,System.Byte[],usa,na,NG Greenlief TS/UTES 01,no,no,no,na, ,,NG Greenlief TS/UTES 01,act,armyNationalGuard,NE,-98.275621136,40.545928771
129,System.Byte[],usa,na,NG GUARNG Barrigada Complex,no,no,no,na, ,,NG GUARNG Barrigada Complex,act,armyNationalGuard,GU,144.810171347,13.474748028
130,System.Byte[],usa,na,NG Gulfport AVCRAD,no,no,no,na, ,,NG Gulfport AVCRAD,act,armyNationalGuard,MS,-89.062874436,30.4161869530001
131,System.Byte[],usa,na,NG Hammond Airport,no,no,no,na, ,,NG Hammond Airport,act,armyNationalGuard,LA,-90.4122817799999,30.523953422
132,System.Byte[],usa,na,NG Havre De Grace Military Res,no,no,no,na, ,,NG Havre De Grace Military Res,act,armyNationalGuard,MD,-76.104116661,39.5326627580001
133,System.Byte[],usa,na,Hawthorne Army Depot,no,yes,no,na, ,,Hawthorne Army Depot,act,usa,NV,-118.768579551,38.57191477
134,System.Byte[],usa,na,Helemano Military Reservation,no,no,no,na, ,,Helemano Military Reservation,act,usa,HI,-158.020016016,21.5353170390001
135,System.Byte[],usa,na,NG Helena Aviation RC- AASF- C12,no,no,no,na, ,,NG Helena Aviation RC- AASF- C12,act,armyNationalGuard,MT,-111.971054136,46.608478215
136,System.Byte[],usa,na,Highbluff Stagefield AL,no,no,no,na, ,,Highbluff Stagefield AL,act,usa,AL,-85.737581957,31.150700715
137,System.Byte[],usa,na,NG Hollidaysburg Readiness Center,no,no,no,na, ,,NG Hollidaysburg Readiness Center,act,armyNationalGuard,PA,-78.414815904,40.439086967
138,System.Byte[],usa,na,NG Hollis Plains Training Site,no,no,no,na, ,,NG Hollis Plains Training Site,act,armyNationalGuard,ME,-70.6637497249999,43.6687900430001
139,System.Byte[],usa,na,Holston Army Ammunition Plant,no,yes,no,na, ,,Holston Army Ammunition Plant,act,usa,TN,-82.6538040579999,36.5151651520001
140,System.Byte[],usa,na,Hunt Stagefield AL,no,no,no,na, ,,Hunt Stagefield AL,act,usa,AL,-85.580111017,31.3801592080001
141,System.Byte[],usa,na,Hunter Army Airfield,no,no,no,na, ,,Hunter Army Airfield,act,usa,GA,-81.153558393,32.009658571
142,System.Byte[],usa,na,Indiana Army Ammunition Plant,no,no,no,na, ,,Indiana Army Ammunition Plant,clsd,usa,IN,-85.606005626,38.452268163
143,System.Byte[],usa,na,NG Indianapolis 38 ID,no,no,no,na, ,,NG Indianapolis 38 ID,act,armyNationalGuard,IN,-86.228164862,39.7443784870001
144,System.Byte[],usa,na,Iowa Army Ammunition Plant,no,yes,no,na, ,,Iowa Army Ammunition Plant,act,usa,IA,-91.245617731,40.7920119570001
145,System.Byte[],usa,na,NG ITC Camp San Luis Obisbo,no,no,no,na, ,,NG ITC Camp San Luis Obisbo,act,armyNationalGuard,CA,-120.694492836,35.3459253730001
146,System.Byte[],usa,na,NG Jackson Airport Armory,no,no,no,na, ,,NG Jackson Airport Armory,act,armyNationalGuard,TN,-88.912958915,35.5981462930001
147,System.Byte[],usa,na,NG Jackson Bks,no,no,no,na, ,,NG Jackson Bks,act,armyNationalGuard,LA,-90.001799906,29.9680734830001
148,System.Byte[],usa,na,Jefferson Proving Ground,no,no,no,na, ,,Jefferson Proving Ground,clsd,usa,IN,-85.417551085,38.950544715
149,System.Byte[],usa,na,NG Montgomery JFHQ AFRC / CSMS 01,no,no,no,na, ,,NG Montgomery JFHQ AFRC / CSMS 01,act,armyNationalGuard,AL,-86.259359111,32.4058257610001
150,System.Byte[],usa,na,NG Johnson City Gray,no,no,no,na, ,,NG Johnson City Gray,act,armyNationalGuard,TN,-82.48876331,36.421331018
151,System.Byte[],usa,na,Kahuku Tng Area,no,no,no,na, ,,Kahuku Tng Area,act,usa,HI,-157.991701236,21.6554761580001
152,System.Byte[],usa,na,NG Kalaeloa,no,no,no,na, ,,NG Kalaeloa,act,armyNationalGuard,HI,-158.062140589,21.31909753
153,System.Byte[],usa,na,Kawaihae Mil Reserve,no,no,no,na, ,,Kawaihae Mil Reserve,act,usa,HI,-155.828747504,20.0302960120001
154,System.Byte[],usa,na,Kilauea Mil Reserve,no,no,no,na, ,,Kilauea Mil Reserve,act,usa,HI,-155.273916408,19.4339559900001
155,System.Byte[],usa,na,Kipapa Ammo Storage Site,no,no,no,na, ,,Kipapa Ammo Storage Site,EXCS,usa,HI,-157.997120168,21.4514028990001
156,System.Byte[],usa,na,Lake City Army Ammunition Plant,no,yes,no,na, ,,Lake City Army Ammunition Plant,act,usa,MO,-94.2501539419999,39.096851873
157,System.Byte[],usa,na,Lake Of The Ozarks Recreation,no,no,no,na, ,,Lake Of The Ozarks Recreation,act,usa,MO,-92.6050227599999,38.089337716
158,System.Byte[],usa,na,NG Lane County AFRC FMS 5,no,no,no,na, ,,NG Lane County AFRC FMS 5,act,armyNationalGuard,OR,-122.975902798,44.065986288
159,System.Byte[],usa,na,NG Lansing Joint Forces Readiness Center,no,no,no,na, ,,NG Lansing Joint Forces Readiness Center,act,armyNationalGuard,MI,-84.571315558,42.76814964
160,System.Byte[],usa,na,NG Las Cruces,no,no,no,na, ,,NG Las Cruces,act,armyNationalGuard,NM,-106.932674631,32.2779142890001
161,System.Byte[],usa,na,NG Lawrenceville,no,no,no,na, ,,NG Lawrenceville,act,armyNationalGuard,NJ,-74.744296721,40.270500224
162,System.Byte[],usa,na,Letterkenny Army Depot,no,yes,no,na, ,,Letterkenny Army Depot,act,usa,PA,-77.7020538049999,40.0204236440001
163,System.Byte[],usa,na,NG Lexington AASF No 1,no,no,no,na, ,,NG Lexington AASF No 1,act,armyNationalGuard,OK,-97.2313617199999,35.0258381800001
164,System.Byte[],usa,na,NG Lincoln AASF/Readiness Center,no,no,no,na, ,,NG Lincoln AASF/Readiness Center,act,armyNationalGuard,NE,-96.754986344,40.8373288810001
165,System.Byte[],usa,na,Longhorn AAP,no,no,no,na, ,,Longhorn AAP,EXCS,usa,TX,-94.1428965709999,32.682694902
166,System.Byte[],usa,na,Louisville Stagefield AL,no,no,no,na, ,,Louisville Stagefield AL,act,usa,AL,-85.6497985029999,31.815733225
167,System.Byte[],usa,na,NG Anthony Cometa Complex,no,no,no,na, ,,NG Anthony Cometa Complex,act,armyNationalGuard,NV,-115.200674517,36.017382044
168,System.Byte[],usa,na,NG Macon Readiness Center,no,no,no,na, ,,NG Macon Readiness Center,act,armyNationalGuard,GA,-83.605654493,32.8613917550001
169,System.Byte[],usa,na,NG Macon TS,no,no,no,na, ,,NG Macon TS,act,armyNationalGuard,MO,-92.490775307,39.6987033520001
170,System.Byte[],usa,na,Makua Mil Reserve,no,no,no,na, ,,Makua Mil Reserve,act,usa,HI,-158.206661117,21.5304416870001
171,System.Byte[],usa,na,NG Marseilles (MTA Tng Area),no,no,no,na, ,,NG Marseilles (MTA Tng Area),act,armyNationalGuard,IL,-88.679586887,41.286947868
172,System.Byte[],usa,na,NG Martindale - AASF,no,no,no,na, ,,NG Martindale - AASF,act,armyNationalGuard,TX,-98.379430595,29.4317526240001
173,System.Byte[],usa,na,McAlester Army Ammunition Plant,no,yes,no,na, ,,McAlester Army Ammunition Plant,act,usa,OK,-95.9396079319999,34.8220822810001
174,System.Byte[],usa,na,NG McConnelsville Training Site,no,no,no,na, ,,NG McConnelsville Training Site,act,armyNationalGuard,OH,-81.839319575,39.6633688260001
175,System.Byte[],usa,na,NG McNary Field Salem AASF,no,no,no,na, ,,NG McNary Field Salem AASF,act,armyNationalGuard,OR,-122.999821604,44.911737671
176,System.Byte[],usa,na,NG Mead TS/FMS 06/Utes 02,no,no,no,na, ,,NG Mead TS/FMS 06/Utes 02,act,armyNationalGuard,NE,-96.437969981,41.1936142530001
177,System.Byte[],usa,na,Military Ocean Terminal Sunny Point,no,yes,no,na, ,,Military Ocean Terminal Sunny Point,act,usa,NC,-77.98044286,34.005933124
178,System.Byte[],usa,na,NG Mitchell Complex,no,no,no,na, ,,NG Mitchell Complex,act,armyNationalGuard,SD,-98.043894366,43.7618742780001
179,System.Byte[],usa,na,NG MTA Camp Clark Nevada,no,no,no,na, ,,NG MTA Camp Clark Nevada,act,armyNationalGuard,MO,-94.291473014,37.8202972990001
