OBJECTID,SE_ANNO_CAD_DATA,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,x,y
242,System.Byte[],usa,na,NG Shelbyville,no,no,no,na, ,,NG Shelbyville,act,armyNationalGuard,IN,-85.811023644,39.5789596590001
243,System.Byte[],usa,na,Shell Basefield AL,no,no,no,na, ,,Shell Basefield AL,act,usa,AL,-85.848981327,31.362601602
244,System.Byte[],usa,na,Sierra Army Depot,no,no,no,na, ,,Sierra Army Depot,act,usa,CA,-120.124453351,40.206973045
245,System.Byte[],usa,na,NG Silver Bell Army Heliport,no,no,no,na, ,,NG Silver Bell Army Heliport,act,armyNationalGuard,AZ,-111.333461828,32.5228719130001
246,System.Byte[],usa,na,NG Sioux Falls Benson Rd Complex,no,no,no,na, ,,NG Sioux Falls Benson Rd Complex,act,armyNationalGuard,SD,-96.6773875389999,43.5891803100001
247,System.Byte[],usa,na,Skelly Stagefield AL,no,no,no,na, ,,Skelly Stagefield AL,act,usa,AL,-86.12854194,31.284021528
248,System.Byte[],usa,na,NG Camp Beauregard,no,no,no,na, ,,NG Camp Beauregard,act,armyNationalGuard,LA,-92.396518256,31.373373137
249,System.Byte[],usa,na,Combat Capabilities Development Command Soldier Center,no,yes,no,na, ,,Combat Capabilities Development Command Soldier Center,act,usa,MA,-71.36242566,42.289938943
250,System.Byte[],usa,na,NG Sparta Armory,no,no,no,na, ,,NG Sparta Armory,act,armyNationalGuard,IL,-89.7239398629999,38.1600082750001
251,System.Byte[],usa,na,NG Spring City Readiness Center,no,no,no,na, ,,NG Spring City Readiness Center,act,armyNationalGuard,PA,-75.5558107699999,40.1899589990001
252,System.Byte[],usa,na,NG Springfield (TS Cp Lincoln),no,no,no,na, ,,NG Springfield (TS Cp Lincoln),act,armyNationalGuard,IL,-89.6699073679999,39.8236669710001
253,System.Byte[],usa,na,NG St Cloud AASF,no,no,no,na, ,,NG St Cloud AASF,act,armyNationalGuard,MN,-94.055790225,45.5390769470001
254,System.Byte[],usa,na,NG St Cloud NG Armory,no,no,no,na, ,,NG St Cloud NG Armory,act,armyNationalGuard,MN,-94.177418743,45.5648760440001
255,System.Byte[],usa,na,Stinson 5AB Stagefield AL,no,no,no,na, ,,Stinson 5AB Stagefield AL,act,usa,AL,-86.01394597,31.3595821160001
256,System.Byte[],usa,na,NG Stones Ranch Military Res,no,no,no,na, ,,NG Stones Ranch Military Res,act,armyNationalGuard,CT,-72.2724874039999,41.3663081030001
257,System.Byte[],usa,na,Tac X Stagefield AL,no,no,no,na, ,,Tac X Stagefield AL,act,usa,AL,-85.979084171,31.1219111120001
258,System.Byte[],usa,na,Tobyhanna Army Depot,no,no,no,na, ,,Tobyhanna Army Depot,act,usa,PA,-75.428574308,41.197159807
259,System.Byte[],usa,na,NG JFHQ-Kansas,no,no,no,na, ,,NG JFHQ-Kansas,act,armyNationalGuard,KS,-95.683494126,39.0205971130001
260,System.Byte[],usa,na,Toth Stagefield AL,no,no,no,na, ,,Toth Stagefield AL,act,usa,AL,-85.558709452,31.2285845160001
261,System.Byte[],usa,na,Tripler Army Medical Center,no,no,no,na, ,,Tripler Army Medical Center,act,usa,HI,-157.889726796,21.3617511640001
262,System.Byte[],usa,na,NG Los Alamitos JFTB,no,no,no,na, ,,NG Los Alamitos JFTB,act,armyNationalGuard,CA,-118.052226601,33.7912117820001
263,System.Byte[],usa,na,NG Bethany Beach Training Site,no,no,no,na, ,,NG Bethany Beach Training Site,act,armyNationalGuard,DE,-75.0633012819999,38.5475743860001
264,System.Byte[],usa,na,NG TS Camp Johnson,no,no,no,na, ,,NG TS Camp Johnson,act,armyNationalGuard,VT,-73.164629826,44.499636507
265,System.Byte[],usa,na,NG TS Mark Twain Natl Forest Wapp,no,no,no,na, ,,NG TS Mark Twain Natl Forest Wapp,act,armyNationalGuard,MO,-90.2799666069999,36.8915198070001
266,System.Byte[],usa,na,NG TS Ethan Allen Range,no,no,no,na, ,,NG TS Ethan Allen Range,act,armyNationalGuard,VT,-72.896539553,44.471731236
267,System.Byte[],usa,na,NG TS Ike Skelton Jefferson City,no,no,no,na, ,,NG TS Ike Skelton Jefferson City,act,armyNationalGuard,MO,-92.068407873,38.551479473
268,System.Byte[],usa,na,NG TS Keaukaha Mil Res,no,no,no,na, ,,NG TS Keaukaha Mil Res,act,armyNationalGuard,HI,-155.038573172,19.706616685
269,System.Byte[],usa,na,Joint Systems Manufacturing Center - Lima,no,yes,no,na, ,,Joint Systems Manufacturing Center - Lima,act,usa,OH,-84.134365079,40.699992556
270,System.Byte[],usa,na,Adelphi Laboratory Center,no,yes,no,na, ,,Adelphi Laboratory Center,act,usa,MD,-76.963784932,39.031507031
271,System.Byte[],usa,na,USA Field Station Kunia,no,no,no,na, ,,USA Field Station Kunia,act,usa,HI,-158.053686651,21.474903205
272,System.Byte[],usa,na,Joliet USARC/JTA,no,no,no,na, ,,Joliet USARC/JTA,act,usar,IL,-88.142644875,41.424356039
273,System.Byte[],usa,na,USMCB Camp Pendleton,no,no,no,na, ,,USMCB Camp Pendleton,act,usar,CA,-117.397261281,33.2130756810001
274,System.Byte[],usa,na,NG Volkstone,no,no,no,na, ,,NG Volkstone,act,armyNationalGuard,WV,-79.6692500299999,39.454797802
275,System.Byte[],usa,na,NG VTS Catoosa,no,no,no,na, ,,NG VTS Catoosa,act,armyNationalGuard,GA,-85.05921287,34.930958252
276,System.Byte[],usa,na,NG VTS Smyrna,no,no,no,na, ,,NG VTS Smyrna,act,armyNationalGuard,TN,-86.503558297,36.017929875
277,System.Byte[],usa,na,W Silver Spring Complex,no,no,no,na, ,,W Silver Spring Complex,act,usar,WI,-87.9772820599999,43.122804466
278,System.Byte[],usa,na,NG WH Ford Regional Tng Ctr,no,no,no,na, ,,NG WH Ford Regional Tng Ctr,act,armyNationalGuard,KY,-87.1945779879999,37.270677753
279,System.Byte[],usa,na,Waianae Kai Military Reservation,no,no,no,na, ,,Waianae Kai Military Reservation,act,usa,HI,-158.190953025,21.4470114010001
280,System.Byte[],usa,na,Watervliet Arsenal,no,yes,no,na, ,,Watervliet Arsenal,act,usa,NY,-73.7073016909999,42.719485933
281,System.Byte[],usa,na,NG West Camp,no,no,no,na, ,,NG West Camp,act,armyNationalGuard,SD,-103.306749154,44.0732116080001
282,System.Byte[],usa,na,West Point Military Reservation,no,no,no,na, ,,West Point Military Reservation,act,usa,NY,-74.0247575239999,41.36149133
283,System.Byte[],usa,na,NG Westminster Training Site,no,no,no,na, ,,NG Westminster Training Site,act,armyNationalGuard,VT,-72.451312018,43.085882758
284,System.Byte[],usa,na,Wheeler Army Airfield,no,no,no,na, ,,Wheeler Army Airfield,act,usa,HI,-158.035502049,21.475507249
285,System.Byte[],usa,na,White Sands Missile Range,no,yes,no,na, ,,White Sands Missile Range,act,usa,NM,-106.425740275,33.162452955
286,System.Byte[],usa,na,Yuma Proving Ground,no,yes,no,na, ,,Yuma Proving Ground,act,usa,AZ,-114.353450857,33.1700688670001
287,System.Byte[],usa,na,NG Ayer,no,no,no,na, ,,NG Ayer,act,armyNationalGuard,MA,-71.58449776,42.5489412000001
288,System.Byte[],usa,na,NG MTA Camp Butner,no,no,no,na, ,,NG MTA Camp Butner,act,armyNationalGuard,NC,-78.801351026,36.2015433920001
289,System.Byte[],usa,na,NG Springfield AVCRAD (New),no,no,no,na, ,,NG Springfield AVCRAD (New),act,armyNationalGuard,MO,-93.3909579039999,37.253275548
290,System.Byte[],usa,na,Muscatatuck Urban Training Center,no,yes,no,na, ,,Muscatatuck Urban Training Center,act,armyNationalGuard,IN,-85.524743485,39.0513449370001
291,System.Byte[],usa,na,NG Cambridge Springs Readiness Center and FMS 5,no,no,no,na, ,,NG Cambridge Springs Readiness Center and FMS 5,act,armyNationalGuard,PA,-80.047896523,41.794166063
292,System.Byte[],usa,na,NG General Lucius D Clay National Guard Center,no,no,no,na, ,,NG General Lucius D Clay National Guard Center,act,armyNationalGuard,GA,-84.529017385,33.913615989
293,System.Byte[],usa,na,NG Cumming,no,no,no,na, ,,NG Cumming,act,armyNationalGuard,GA,-84.113051593,34.224334045
294,System.Byte[],usa,na,NG Jackson County AFRC,no,no,no,na, ,,NG Jackson County AFRC,act,armyNationalGuard,WV,-81.8243140009999,38.891442295
295,System.Byte[],usa,na,NG Elkins AFRC,no,no,no,na, ,,NG Elkins AFRC,act,armyNationalGuard,WV,-79.979115462,38.954504199
296,System.Byte[],usa,na,NG Muskogee AFRC,no,no,no,na, ,,NG Muskogee AFRC,act,armyNationalGuard,OK,-95.3735303029999,35.6603705320001
297,System.Byte[],usa,na,NG Clarke Range Complex,no,no,no,na, ,,NG Clarke Range Complex,act,armyNationalGuard,AL,-85.950193514,33.717925877
298,System.Byte[],usa,na,NG Collegeville FMS 4,no,no,no,na, ,,NG Collegeville FMS 4,act,armyNationalGuard,PA,-75.428419484,40.2146158050001
299,System.Byte[],usa,na,NG Baton Rouge AFRC,no,no,no,na, ,,NG Baton Rouge AFRC,act,armyNationalGuard,LA,-91.143364121,30.3563975820001
300,System.Byte[],usa,na,NG Knightstown,no,no,no,na, ,,NG Knightstown,act,armyNationalGuard,IN,-85.516869333,39.7713458220001
301,System.Byte[],usa,na,Twin Cities AAP,no,no,no,na, ,,Twin Cities AAP,semi,usa,MN,-93.1771990139999,45.0995241620001
302,System.Byte[],usa,na,Fort Gillem Enclave Site,no,no,no,na, ,,Fort Gillem Enclave Site,act,usa,GA,-84.3181541389999,33.6197743480001
303,System.Byte[],usa,na,Riverbank AAP,no,no,no,na, ,,Riverbank AAP,clsd,usa,CA,-120.919352781,37.7168805540001
304,System.Byte[],usa,na,Presidio of Monterey,no,no,no,na, ,,Presidio of Monterey,act,usa,CA,-121.910786019,36.6051340700001
305,System.Byte[],usa,na,Milan AAP,no,no,no,na, ,,Milan AAP,act,usa,TN,-88.706473681,35.8736120630001
306,System.Byte[],usa,na,NG VTS Milan,no,no,no,na, ,,NG VTS Milan,act,armyNationalGuard,TN,-88.6609624129999,35.891220667
307,System.Byte[],usa,na,Cannon Air Force Base,no,yes,no,na, ,,Cannon Air Force Base,act,usaf,NM,-103.317512583,34.386475278
308,System.Byte[],usa,na,Cheyenne Mountain Space Force Station,no,yes,no,na, ,,Cheyenne Mountain Space Force Station,act,usaf,CO,-104.842724347,38.7410339040001
309,System.Byte[],usa,na,Kegelman Air Force Auxiliary Field,no,no,no,na, ,,Kegelman Air Force Auxiliary Field,act,usaf,OK,-98.1191684999999,36.7350336650001
310,System.Byte[],usa,na,Keesler AFB,no,no,no,na, ,,Keesler AFB,act,usaf,MS,-88.924669922,30.40888346
311,System.Byte[],usa,na,Los Angeles Air Force Base,no,yes,no,na, ,,Los Angeles Air Force Base,act,usaf,CA,-118.381099893,33.918943681
312,System.Byte[],usa,na,Bellows,no,no,no,na, ,,Bellows,act,usaf,HI,-157.710819443,21.371329686
313,System.Byte[],usa,na,Francis E. Warren Air Force Base,no,yes,no,na, ,,Francis E. Warren Air Force Base,act,usaf,WY,-104.863207449,41.1648033380001
314,System.Byte[],usa,na,Whiteman Air Force Base,no,yes,no,na, ,,Whiteman Air Force Base,act,usaf,MO,-93.551851867,38.729307691
315,System.Byte[],usa,na,USAF Academy Auxiliary Airfield,no,no,no,na, ,,USAF Academy Auxiliary Airfield,act,usaf,CO,-104.301341988,38.7602877460001
316,System.Byte[],usa,na,Boles System Annex,no,no,no,na, ,,Boles System Annex,act,usaf,NM,-105.940305578,32.7724433980001
317,System.Byte[],usa,na,Blakeslee Air Force Recreation Area,no,no,no,na, ,,Blakeslee Air Force Recreation Area,act,usaf,NC,-77.91796009,33.980421381
318,System.Byte[],usa,na,Kirtland Air Force Base,no,yes,no,na, ,,Kirtland Air Force Base,act,usaf,NM,-106.540306077,35.042127072
319,System.Byte[],usa,na,DFAS Annex,no,no,no,na, ,,DFAS Annex,act,usaf,ME,-67.895154256,46.9326569790001
320,System.Byte[],usa,na,Eielson Air Force Base,no,yes,no,na, ,,Eielson Air Force Base,act,usaf,AK,-147.004203727,64.6488348030001
321,System.Byte[],usa,na,Dare County Range,no,yes,no,na, ,,Dare County Range,act,usaf,NC,-75.878560454,35.7144803310001
322,System.Byte[],usa,na,Cusick Survival Training Site,no,no,no,na, ,,Cusick Survival Training Site,act,usaf,WA,-117.362747606,48.423133007
323,System.Byte[],usa,na,Homestead ARB,no,no,no,na, ,,Homestead ARB,act,afr,FL,-80.402343715,25.4927492300001
324,System.Byte[],usa,na,Hanscom Air Force Base,no,yes,no,na, ,,Hanscom Air Force Base,act,usaf,MA,-71.276833314,42.458263759
325,System.Byte[],usa,na,Grissom ARB,no,no,no,na, ,,Grissom ARB,act,afr,IN,-86.146386838,40.6525515490001
326,System.Byte[],usa,na,Westover ARB,no,no,no,na, ,,Westover ARB,act,afr,MA,-72.53872444,42.1932703150001
327,System.Byte[],usa,na,Yukon Weapons Range,no,no,no,na, ,,Yukon Weapons Range,act,usaf,AK,-146.894347173,64.768855128
328,System.Byte[],usa,na,Tyndall Air Force Base,no,yes,no,na, ,,Tyndall Air Force Base,act,usaf,FL,-85.5588489799999,30.0467400800001
329,System.Byte[],usa,na,Norwalk 2,no,no,no,na, ,,Norwalk 2,act,afr,CA,-118.070170964,33.893184972
330,System.Byte[],usa,na,Travis System Annex No 2,no,no,no,na, ,,Travis System Annex No 2,act,usaf,CA,-121.923571565,38.3255002930001
331,System.Byte[],usa,na,Dyess Air Force Base,no,yes,no,na, ,,Dyess Air Force Base,act,usaf,TX,-99.8380753279999,32.421140703
332,System.Byte[],usa,na,Haarp Research Station,no,no,no,na, ,,Haarp Research Station,act,usaf,AK,-145.152894864,62.408722622
333,System.Byte[],usa,na,New Boston Air Station,no,yes,no,na, ,,New Boston Air Station,act,usaf,NH,-71.6412522649999,42.9371701840001
334,System.Byte[],usa,na,Ozol Defense Fuel Support Point,no,no,no,na, ,,Ozol Defense Fuel Support Point,act,usaf,CA,-122.167071595,38.0258710420001
335,System.Byte[],usa,na,Grand Forks AFB,no,yes,no,na, ,,Grand Forks AFB,act,usaf,ND,-97.390900028,47.9544642560001
336,System.Byte[],usa,na,St Louis Air Force Station,no,no,no,na, ,,St Louis Air Force Station,act,usaf,MO,-90.2089418959999,38.5917762380001
337,System.Byte[],usa,na,Seymour Johnson Air Force Base,no,yes,no,na, ,,Seymour Johnson Air Force Base,act,usaf,NC,-77.962577719,35.347902495
338,System.Byte[],usa,na,Buckley Space Force Base,no,yes,no,na, ,,Buckley Space Force Base,act,usaf,CO,-104.757689049,39.706670022
339,System.Byte[],usa,na,Scott Air Force Base,no,yes,no,na, ,,Scott Air Force Base,act,usaf,IL,-89.852834251,38.5446305180001
340,System.Byte[],usa,na,Wright-Patterson Air Force Base,no,yes,no,na, ,,Wright-Patterson Air Force Base,act,usaf,OH,-84.050696053,39.8174353250001
341,System.Byte[],usa,na,Joint Base San Antonio,no,yes,yes,na, ,,Joint Base San Antonio,act,usaf,TX,-98.610899732,29.3893906120001
342,System.Byte[],usa,na,Moody Air Force Base,no,yes,no,na, ,,Moody Air Force Base,act,usaf,GA,-83.1851573019999,30.9675033870001
343,System.Byte[],usa,na,Mountain Home Air Force Base,no,yes,no,na, ,,Mountain Home Air Force Base,act,usaf,ID,-115.865879659,43.0489393240001
344,System.Byte[],usa,na,Barksdale Air Force Base,no,yes,no,na, ,,Barksdale Air Force Base,act,usaf,LA,-93.59994134,32.500280957
345,System.Byte[],usa,na,Offutt Air Force Base,no,yes,no,na, ,,Offutt Air Force Base,act,usaf,NE,-95.915609146,41.1313629480001
346,System.Byte[],usa,na,Joint Base Langley-Eustis,no,yes,yes,na, ,,Joint Base Langley-Eustis,act,usaf,VA,-76.36286783,37.0833357610001
347,System.Byte[],usa,na,Dover Air Force Base,no,yes,no,na, ,,Dover Air Force Base,act,usaf,DE,-75.4668826339999,39.1277656600001
348,System.Byte[],usa,na,Laughlin AFB,no,yes,no,na, ,,Laughlin AFB,act,usaf,TX,-100.782946794,29.356740002
349,System.Byte[],usa,na,Melrose Air Force Range,no,no,no,na, ,,Melrose Air Force Range,act,usaf,NM,-103.780357607,34.2846437160001
350,System.Byte[],usa,na,Fairchild Air Force Base,no,yes,no,na, ,,Fairchild Air Force Base,act,usaf,WA,-117.648384744,47.6186605620001
351,System.Byte[],usa,na,Hurlburt Field,no,no,no,na, ,,Hurlburt Field,act,usaf,FL,-86.699,30.4298444290001
352,System.Byte[],usa,na,Eglin Air Force Base,no,yes,no,na, ,,Eglin Air Force Base,act,usaf,FL,-86.326376962,30.6071221180001
353,System.Byte[],usa,na,Vance Air Force Base,no,yes,no,na, ,,Vance Air Force Base,act,usaf,OK,-97.911806336,36.335961309
354,System.Byte[],usa,na,Little Rock Air Force Base,no,yes,no,na, ,,Little Rock Air Force Base,act,usaf,AR,-92.138482905,34.903991354
355,System.Byte[],usa,na,Niagara Falls,no,no,no,na, ,,Niagara Falls,act,afr,NY,-78.949633046,43.115652631
356,System.Byte[],usa,na,Ellsworth AFB,no,yes,no,na, ,,Ellsworth AFB,act,usaf,SD,-103.094007763,44.1570836670001
357,System.Byte[],usa,na,Altus Air Force Base,no,yes,no,na, ,,Altus Air Force Base,act,usaf,OK,-99.274545403,34.6637655550001
358,System.Byte[],usa,na,Bonito Lake System Annex,no,no,no,na, ,,Bonito Lake System Annex,act,usaf,NM,-106.083353388,33.341429717
359,System.Byte[],usa,na,Saylor Creek Air Force Range,no,no,no,na, ,,Saylor Creek Air Force Range,act,usaf,ID,-115.56333156,42.740182776
360,System.Byte[],usa,na,USAF Academy Site 2,no,no,no,na, ,,USAF Academy Site 2,act,usaf,CO,-104.870063431,38.998486487
361,System.Byte[],usa,na,Eglin Air Force Auxiliary Field 6,no,no,no,na, ,,Eglin Air Force Auxiliary Field 6,act,usaf,FL,-86.740972055,30.6317649860001
362,System.Byte[],usa,na,March ARB,no,no,no,na, ,,March ARB,act,afr,CA,-117.259945618,33.887978692
363,System.Byte[],usa,na,Holloman Air Force Base,no,yes,no,na, ,049feb34-6c2d-4a6f-b3f3-2cf8e78ed47d,Holloman Air Force Base,act,usaf,NM,-106.133633242,32.918017352
364,System.Byte[],usa,na,Los Angeles Space Force Annex No4,no,no,no,na, ,,Los Angeles Space Force Annex No4,act,usaf,CA,-118.235754982,33.858772817
365,System.Byte[],usa,na,The Farish Memorial Recreational Annex,no,no,no,na, ,,The Farish Memorial Recreational Annex,act,usaf,CO,-104.99964488,38.999159164
366,System.Byte[],usa,na,Travis Air Force Base,no,yes,no,na, ,,Travis Air Force Base,act,usaf,CA,-121.942808932,38.2645644090001
367,System.Byte[],usa,na,Clear Space Force Station,no,yes,no,na, ,,Clear Space Force Station,act,usaf,AK,-149.190714696,64.288160573
368,System.Byte[],usa,na,Shaw Air Force Base,no,yes,no,na, ,,Shaw Air Force Base,act,usaf,SC,-80.474101102,33.9771011820001
369,System.Byte[],usa,na,Sheppard AFB,no,no,no,na, ,,Sheppard AFB,act,usaf,TX,-98.499690537,33.984556389
370,System.Byte[],usa,na,White Bluff,no,no,no,na, ,,White Bluff,act,usaf,WA,-117.577367959,47.7029108780001
371,System.Byte[],usa,na,Peterson Space Force Base,no,yes,no,na, ,,Peterson Space Force Base,act,usaf,CO,-104.696135201,38.822897304
372,System.Byte[],usa,na,Joint Base Elmendorf-Richardson,no,yes,yes,na, ,,Joint Base Elmendorf-Richardson,act,usaf,AK,-149.811208092,61.2697870800001
373,System.Byte[],usa,na,Arnold Air Force Base,no,yes,no,na, ,,Arnold Air Force Base,act,usaf,TN,-86.073934604,35.356625455
374,System.Byte[],usa,na,Columbus Air Force Base,no,yes,no,na, ,,Columbus Air Force Base,act,usaf,MS,-88.451118752,33.6413120870001
375,System.Byte[],usa,na,Cavalier Space Force Station,no,yes,no,na, ,,Cavalier Space Force Station,act,usaf,ND,-97.9030701569999,48.7245309300001
376,System.Byte[],usa,na,Eglin Air Force Auxiliary Field 3 Duke Fld,no,no,no,na, ,,Eglin Air Force Auxiliary Field 3 Duke Fld,act,usaf,FL,-86.5276912149999,30.6490705510001
377,System.Byte[],usa,na,Davis-Monthan Air Force Base,no,yes,no,na, ,,Davis-Monthan Air Force Base,act,usaf,AZ,-110.848722373,32.1608016660001
378,System.Byte[],usa,na,The Barry M Goldwater Air Force Range,no,no,no,na, ,,The Barry M Goldwater Air Force Range,act,usaf,AZ,-113.055879422,32.6406200540001
379,System.Byte[],usa,na,Eglin AFB Site 2 Santa Rosa Island,no,no,no,na, ,,Eglin AFB Site 2 Santa Rosa Island,act,usaf,FL,-86.7420755799999,30.3958064820001
380,System.Byte[],usa,na,Minn-St Paul,no,no,no,na, ,,Minn-St Paul,act,afr,MN,-93.2143092159999,44.8950285120001
381,System.Byte[],usa,na,Tinker Air Force Base,no,yes,no,na, ,,Tinker Air Force Base,act,usaf,OK,-97.390454264,35.4154028730001
382,System.Byte[],usa,na,Cape Canaveral Space Force Station,no,yes,no,na, ,,Cape Canaveral Space Force Station,act,usaf,FL,-80.570278759,28.477357339
383,System.Byte[],usa,na,Beale Air Force Base,no,yes,no,na, ,,Beale Air Force Base,act,usaf,CA,-121.395570767,39.1209326520001
384,System.Byte[],usa,na,Nevada Test and Training Range,no,yes,no,na, ,,Nevada Test and Training Range,act,usaf,NV,-115.594288653,36.9283141810001
385,System.Byte[],usa,na,Schriever Space Force Base,no,yes,no,na, ,,Schriever Space Force Base,act,usaf,CO,-104.520474444,38.8057923440001
386,System.Byte[],usa,na,Dobbins ARB,no,no,no,na, ,,Dobbins ARB,act,afr,GA,-84.519653298,33.917248656
387,System.Byte[],usa,na,McGhee Tyson Airport,no,no,no,na, ,,McGhee Tyson Airport,act,airNationalGuard,TN,-84.003543409,35.811594014
388,System.Byte[],usa,na,Pillar Point Space Force Station,no,no,no,na, ,,Pillar Point Space Force Station,act,usaf,CA,-122.49801566,37.4989570340001
389,System.Byte[],usa,na,Edwards Air Force Base,no,yes,no,na, ,,Edwards Air Force Base,act,usaf,CA,-117.848869349,34.890359963
390,System.Byte[],usa,na,Nellis Air Force Base,no,yes,no,na, ,,Nellis Air Force Base,act,usaf,NV,-114.994831273,36.2432886030001
391,System.Byte[],usa,na,Maxwell-Gunter AFB,no,yes,no,na, ,,Maxwell-Gunter AFB,act,usaf,AL,-86.356432464,32.382447128
392,System.Byte[],usa,na,McConnell AFB,no,no,no,na, ,,McConnell AFB,act,usaf,KS,-97.256408026,37.6217558440001
393,System.Byte[],usa,na,Joint Base McGuire-Dix-Lakehurst,no,yes,yes,na, ,,Joint Base McGuire-Dix-Lakehurst,act,usaf,NJ,-74.516977509,40.009106118
394,System.Byte[],usa,na,Youngstown,no,no,no,na, ,,Youngstown,act,afr,OH,-80.676278955,41.268033159
395,System.Byte[],usa,na,Hill Air Force Base,no,yes,no,na, ,,Hill Air Force Base,act,usaf,UT,-111.95610137,41.1015465570001
396,System.Byte[],usa,na,Joint Base Charleston,no,yes,no,na, ,,Joint Base Charleston,act,usaf,SC,-79.964424648,32.9519682280001
397,System.Byte[],usa,na,Patrick Space Force Base,no,yes,no,na, ,,Patrick Space Force Base,act,usaf,FL,-80.60841349,28.2335703310001
398,System.Byte[],usa,na,Charlotte/Douglas IAP,no,no,no,na, ,,Charlotte/Douglas IAP,act,airNationalGuard,NC,-80.929882724,35.216358127
399,System.Byte[],usa,na,W K Kellogg,no,no,no,na, ,,W K Kellogg,act,airNationalGuard,MI,-85.251409741,42.3171931190001
400,System.Byte[],usa,na,Creech Air Force Base,no,yes,no,na, ,,Creech Air Force Base,act,usaf,NV,-115.638815319,36.648888239
401,System.Byte[],usa,na,Poinsett Electronic Combat Range,no,no,no,na, ,,Poinsett Electronic Combat Range,act,usaf,SC,-80.481796018,33.796125488
402,System.Byte[],usa,na,Robins AFB,no,no,no,na, ,,Robins AFB,act,usaf,GA,-83.581579146,32.617547255
403,System.Byte[],usa,na,Joint Base Andrews,no,yes,no,na, ,,Joint Base Andrews,act,usaf,MD,-76.874469298,38.8051681100001
404,System.Byte[],usa,na,Newington Defense Fuel Support Point,no,no,no,na, ,,Newington Defense Fuel Support Point,act,usaf,NH,-70.7959219749999,43.1061857400001
405,System.Byte[],usa,na,Cannon AFB Site 2,no,no,no,na, ,,Cannon AFB Site 2,act,usaf,NM,-103.328244295,34.4091917110001
406,System.Byte[],usa,na,Pittsburgh IAP ARS,no,no,no,na, ,,Pittsburgh IAP ARS,act,afr,PA,-80.211052304,40.4935810260001
407,System.Byte[],usa,na,JBC North Yard JBCY,no,no,no,na, ,,JBC North Yard JBCY,act,usaf,SC,-79.9695646769999,32.87512744
408,System.Byte[],usa,na,Cape Newenham Long Range Radar Site,no,yes,no,na, ,,Cape Newenham Long Range Radar Site,act,usaf,AK,-162.066652809,58.642607997
409,System.Byte[],usa,na,Oliktok Long Range Radar Site,no,yes,no,na, ,,Oliktok Long Range Radar Site,act,usaf,AK,-149.880446976,70.4950066310001
410,System.Byte[],usa,na,Birch Lake Recreation Annex,no,no,no,na, ,,Birch Lake Recreation Annex,act,usaf,AK,-146.646950766,64.317524194
411,System.Byte[],usa,na,King Salmon Long Range Radar Site,no,yes,no,na, ,,King Salmon Long Range Radar Site,act,usaf,AK,-156.662974128,58.6913501350001
412,System.Byte[],usa,na,Tin City Long Range Radar Site,no,yes,no,na, ,,Tin City Long Range Radar Site,act,usaf,AK,-167.987855033,65.5669760580001
413,System.Byte[],usa,na,Goodfellow Air Force Base,no,yes,no,na, ,,Goodfellow Air Force Base,act,usaf,TX,-100.404486027,31.4321182210001
414,System.Byte[],usa,na,Vandenberg Space Force Base,no,yes,no,na, ,,Vandenberg Space Force Base,act,usaf,CA,-120.557922256,34.7136907660001
415,System.Byte[],usa,na,Fort Yukon Long Range Radar Site,no,yes,no,na, ,,Fort Yukon Long Range Radar Site,act,usaf,AK,-145.207032049,66.5600536590001
416,System.Byte[],usa,na,Point Barrow Long Range Radar Site,no,yes,no,na, ,,Point Barrow Long Range Radar Site,act,usaf,AK,-156.625553894,71.326194974
417,System.Byte[],usa,na,Utah Test and Training Range,no,yes,no,na, ,00f23d7b-382f-4ead-a856-4f14da3329fa,Utah Test and Training Range,act,usaf,NV,-113.536656777,40.5096630790001
418,System.Byte[],usa,na,Air Force Maui Optical and Supercomputing Site,no,yes,no,na, ,,Air Force Maui Optical and Supercomputing Site,act,usaf,HI,-156.431659957,20.7462628960001
419,System.Byte[],usa,na,Marine Corps Logistics Base Albany,no,yes,no,na, ,,Marine Corps Logistics Base Albany,act,usmc,GA,-84.055999288,31.551015609
420,System.Byte[],usa,na,Yermo Area,no,no,no,na, ,,Yermo Area,act,usmc,CA,-116.870988634,34.8904075180001
421,System.Byte[],usa,na,Marine Corps Logistics Base Barstow,no,yes,no,na, ,,Marine Corps Logistics Base Barstow,act,usmc,CA,-116.955691062,34.8623700900001
422,System.Byte[],usa,na,Townsend Bombing Range,no,yes,no,na, ,,Townsend Bombing Range,act,usmc,GA,-81.596139024,31.5448202040001
423,System.Byte[],usa,na,Marine Corps Air Station Beaufort,no,yes,no,na, ,,Marine Corps Air Station Beaufort,act,usmc,SC,-80.716486763,32.478183051
424,System.Byte[],usa,na,Marine Corps Support Facility Blount Island,no,yes,no,na, ,,Marine Corps Support Facility Blount Island,act,usmc,FL,-81.52497088,30.401311451
425,System.Byte[],usa,na,Bridgeport,no,no,no,na, ,,Bridgeport,act,usmc,CA,-119.542021518,38.374177408
426,System.Byte[],usa,na,Marine Corps Air Station Cherry Point,no,yes,no,na, ,,Marine Corps Air Station Cherry Point,act,usmc,NC,-76.8785328119999,34.9095183250001
