"compound","exposure","spec","margin","estimate","p.value","nobs","detect_rate","sig"
"PFHxS","all_combined_10km","raw","tobit_censored",0.171145582742355,6.83055769448554e-07,2032,0.333661417322835,"***"
"PFHxS","all_combined_10km","raw","intensive_detects",-0.0102735469998146,0.664481956251689,678,0.333661417322835,""
"PFHxS","all_combined_10km","cov","detect_LPM",0.0713861203447857,1.1972042290003e-06,1894,0.333661417322835,"***"
"PFHxS","all_combined_10km","cov","tobit_censored",0.146476377378396,0.000179967918206216,1894,0.333661417322835,"***"
"PFHxS","all_combined_10km","cov","intensive_detects",-0.0300564595240522,0.322362380876833,629,0.333661417322835,""
"PFHxS","all_combined_25km","raw","detect_LPM",0.0214604698382034,0.00104451875201273,2032,0.333661417322835,"***"
"PFHxS","all_combined_25km","raw","tobit_censored",0.043681818195772,0.016632452776587,2032,0.333661417322835,"**"
"PFHxS","all_combined_25km","raw","intensive_detects",-0.0204504798748701,0.120241779021461,678,0.333661417322835,""
"PFHxS","all_combined_25km","cov","detect_LPM",0.0247176105851006,0.00132584327717838,1894,0.333661417322835,"***"
"PFHxS","all_combined_25km","cov","tobit_censored",0.0435919916094392,0.038925359714866,1894,0.333661417322835,"**"
"PFHxS","all_combined_25km","cov","intensive_detects",-0.0302084845081812,0.0759718963512234,629,0.333661417322835,"*"
"PFOS","airport_10km","raw","detect_LPM",0.0165430006506225,0.348542864591556,2032,0.415846456692913,""
"PFOS","airport_10km","raw","tobit_censored",0.131620629058966,0.0053427241494634,2032,0.415846456692913,"***"
"PFOS","airport_10km","raw","intensive_detects",0.146377095280069,4.73600481055226e-06,845,0.415846456692913,"***"
"PFOS","airport_10km","cov","detect_LPM",0.0671974939350841,0.00048288620435204,1894,0.415846456692913,"***"
"PFOS","airport_10km","cov","tobit_censored",0.202378645662192,7.66575518625689e-05,1894,0.415846456692913,"***"
"PFOS","airport_10km","cov","intensive_detects",0.084708288604218,0.0214065816268382,785,0.415846456692913,"**"
"PFOS","airport_25km","raw","detect_LPM",0.00612635648941963,0.420176236994283,2032,0.415846456692913,""
"PFOS","airport_25km","raw","tobit_censored",0.0592263407429352,0.0043033255972383,2032,0.415846456692913,"***"
"PFOS","airport_25km","raw","intensive_detects",0.0766218199671839,1.63326664618973e-07,845,0.415846456692913,"***"
"PFOS","airport_25km","cov","detect_LPM",0.0388682264242999,7.79951750890711e-06,1894,0.415846456692913,"***"
"PFOS","airport_25km","cov","tobit_censored",0.116923581463857,6.92577414852228e-07,1894,0.415846456692913,"***"
"PFOS","airport_25km","cov","intensive_detects",0.0453951979773644,0.0118441365019561,785,0.415846456692913,"**"
"PFOS","milfire_10km","raw","detect_LPM",0.14493749692289,0.000146998935869878,2032,0.415846456692913,"***"
"PFOS","milfire_10km","raw","tobit_censored",0.387347450471357,0.00017724948366681,2032,0.415846456692913,"***"
"PFOS","milfire_10km","raw","intensive_detects",0.0557994398346628,0.446575410827369,845,0.415846456692913,""
"PFOS","milfire_10km","cov","detect_LPM",0.220906125187427,6.84709636249245e-06,1894,0.415846456692913,"***"
"PFOS","milfire_10km","cov","tobit_censored",0.545063203478192,3.15767678244209e-05,1894,0.415846456692913,"***"
"PFOS","milfire_10km","cov","intensive_detects",-0.0774042614411208,0.433021963838163,785,0.415846456692913,""
"PFOS","milfire_25km","raw","detect_LPM",0.0795733716000508,2.51321522033937e-07,2032,0.415846456692913,"***"
"PFOS","milfire_25km","raw","tobit_censored",0.217275449828048,1.79899772602751e-07,2032,0.415846456692913,"***"
"PFOS","milfire_25km","raw","intensive_detects",0.0408020011302553,0.1585682466429,845,0.415846456692913,""
"PFOS","milfire_25km","cov","detect_LPM",0.129037346179353,3.83311300548863e-10,1894,0.415846456692913,"***"
"PFOS","milfire_25km","cov","tobit_censored",0.331215650630661,1.99187850560622e-09,1894,0.415846456692913,"***"
"PFOS","milfire_25km","cov","intensive_detects",-0.00822382099482481,0.837937233569051,785,0.415846456692913,""
"PFOS","milsusp_10km","raw","detect_LPM",0.248328070791231,2.19507917822301e-05,2032,0.415846456692913,"***"
"PFOS","milsusp_10km","raw","tobit_censored",0.985827457399772,9.31378965091711e-11,2032,0.415846456692913,"***"
"PFOS","milsusp_10km","raw","intensive_detects",0.678784219837793,2.445874272129e-10,845,0.415846456692913,"***"
"PFOS","milsusp_10km","cov","detect_LPM",0.356113143322744,7.1176413514659e-07,1894,0.415846456692913,"***"
"PFOS","milsusp_10km","cov","tobit_censored",1.31787930794866,1.16462899673522e-12,1894,0.415846456692913,"***"
"PFOS","milsusp_10km","cov","intensive_detects",0.639771190421534,1.53106820070071e-06,785,0.415846456692913,"***"
"PFOS","milsusp_25km","raw","detect_LPM",0.175298662504453,4.74697181225546e-08,2032,0.415846456692913,"***"
"PFOS","milsusp_25km","raw","tobit_censored",0.63861720947163,3.51116847822776e-14,2032,0.415846456692913,"***"
"PFOS","milsusp_25km","raw","intensive_detects",0.371181348437411,2.53055261071601e-10,845,0.415846456692913,"***"
"PFOS","milsusp_25km","cov","detect_LPM",0.24649279855682,3.47148168821092e-10,1894,0.415846456692913,"***"
"PFOS","milsusp_25km","cov","tobit_censored",0.848977160030137,1.31449596745293e-16,1894,0.415846456692913,"***"
