"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOA","idw__mil_airport__10km","raw","detect","A_anydetect",0.0336884529298842,0.0141425503580384,0.0172159287417956,6314,3500,0.354450427621159,"**"
"PFOA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.0808549336096352,0.0286434001006543,0.00476044770274242,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0104940081401665,0.0126863142719124,0.408128671228607,6314,3500,0.354450427621159,""
"PFOA","idw__mil_airport__10km","cov","tobit","A_anydetect",0.0296374338498449,0.0265553156280734,0.264394707153009,6314,3500,0.354450427621159,""
"PFHxS","idw__mil_airport__10km","raw","detect","A_anydetect",0.044365678536561,0.013834322296211,0.00134160468044646,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__10km","raw","tobit","A_anydetect",0.0695433119998809,0.0341369032618244,0.0416311404274058,6314,3500,0.276369971491923,"**"
"PFHxS","idw__mil_airport__10km","cov","detect","A_anydetect",0.0369913914257614,0.0131555630771083,0.0049258383308091,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_airport__10km","cov","tobit","A_anydetect",0.0515841392213051,0.0312008231037435,0.0982710070790924,6314,3500,0.276369971491923,"*"
"PFBS","idw__mil_airport__10km","raw","detect","A_anydetect",-0.00822835867795113,0.0131398434838365,0.531174349553893,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__10km","raw","tobit","A_anydetect",-0.0614098683314458,0.024464648779663,0.0120680862380674,6314,3500,0.452011403230915,"**"
"PFBS","idw__mil_airport__10km","cov","detect","A_anydetect",-0.0193256066646829,0.013734897477935,0.15941430791591,6314,3500,0.452011403230915,""
"PFBS","idw__mil_airport__10km","cov","tobit","A_anydetect",-0.0625349436462319,0.0250546764178681,0.0125624207506783,6314,3500,0.452011403230915,"**"
"PFHxA","idw__mil_airport__10km","raw","detect","A_anydetect",0.108108838165004,0.0117915204799534,4.80294893086044e-20,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.143565843413885,0.0185412954703155,9.7073627209352e-15,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0901426611421306,0.0117987045246496,2.17141884066126e-14,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_airport__10km","cov","tobit","A_anydetect",0.108662649610727,0.0194904018050377,2.47263027936347e-08,6314,3500,0.465473550839405,"***"
"PFPeA","idw__mil_airport__10km","raw","detect","A_anydetect",0.104881133071073,0.0119345988857877,1.52259814411868e-18,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.166614635035486,0.0223532976071282,9.07625345471239e-14,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0792262771602427,0.0116869533009207,1.20980382051954e-11,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_airport__10km","cov","tobit","A_anydetect",0.117946733773659,0.0219050617683566,7.26660580389757e-08,6314,3500,0.541019955654102,"***"
"PFBA","idw__mil_airport__10km","raw","detect","A_anydetect",0.0734499523610833,0.0141939418534876,2.28229113960767e-07,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.171594108453077,0.0396307364916026,1.49228655887091e-05,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0616667698227229,0.0130562585728293,2.32210504206308e-06,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_airport__10km","cov","tobit","A_anydetect",0.141225788806755,0.0272148991101353,2.11106375033941e-07,6314,3500,0.432689261957555,"***"
"PFHpA","idw__mil_airport__10km","raw","detect","A_anydetect",0.0250461770451095,0.00970666080174536,0.00987121563206142,6314,3500,0.13588850174216,"***"
"PFHpA","idw__mil_airport__10km","raw","tobit","A_anydetect",0.0600002097934353,0.0285979639972207,0.0358999521813916,6314,3500,0.13588850174216,"**"
"PFHpA","idw__mil_airport__10km","cov","detect","A_anydetect",0.0155177054505836,0.0103241477824414,0.132826272654524,6314,3500,0.13588850174216,""
"PFHpA","idw__mil_airport__10km","cov","tobit","A_anydetect",0.0214779686250496,0.0315934542753045,0.49661630583735,6314,3500,0.13588850174216,""
"PFOS","idw__mil_airport__25km","raw","detect","A_anydetect",0.00387181735519143,0.00567938890053528,0.495408852198045,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__25km","raw","tobit","A_anydetect",0.0145230550960009,0.0148819325519587,0.329121444645171,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__25km","cov","detect","A_anydetect",0.0062781733480774,0.00607159482558069,0.301125052844423,6314,3500,0.360785555907507,""
"PFOS","idw__mil_airport__25km","cov","tobit","A_anydetect",0.0162568074009402,0.0160527265961369,0.311197192409376,6314,3500,0.360785555907507,""
"PFOA","idw__mil_airport__25km","raw","detect","A_anydetect",0.0301653264539182,0.00621773708148535,1.22533694249898e-06,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_airport__25km","raw","tobit","A_anydetect",0.0692232353088996,0.0135277175630182,3.1020207782775e-07,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_airport__25km","cov","detect","A_anydetect",0.0193063799445699,0.00572941908317871,0.000752521356945953,6314,3500,0.354450427621159,"***"
