"term","estimate","std.error","p.value","nobs","compound"
"expo_qQ2",0.244396101593777,0.065265778109047,0.000180660798055672,26223,"PFOA"
"expo_qQ3",0.350968941505695,0.0670441439921311,1.65080182127842e-07,26223,"PFOA"
"expo_qQ4",0.587145465148089,0.0700711951289335,5.32569645607456e-17,26223,"PFOA"
"expo_qQ5",0.541866216779343,0.0686526893867186,2.95333663364627e-15,26223,"PFOA"
