"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOS","idw__ind_all_equal__10km","cov","detect","A_anydetect",0.00854438697529144,0.00368475328323889,0.0204032177605519,6314,3500,0.360785555907507,"**"
"PFOS","idw__ind_all_equal__10km","cov","tobit","A_anydetect",0.0175964752734926,0.00978854138906925,0.072230807313806,6314,3500,0.360785555907507,"*"
"PFOA","idw__ind_all_equal__10km","raw","detect","A_anydetect",0.0280929556299479,0.00365981571618913,1.64059594560257e-14,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__10km","raw","tobit","A_anydetect",0.0556607969000567,0.00822761648839818,1.33200536832465e-11,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__10km","cov","detect","A_anydetect",0.0161866183172945,0.00347015428416109,3.09332067384259e-06,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_all_equal__10km","cov","tobit","A_anydetect",0.0299450104480146,0.00750241766462599,6.56895327478071e-05,6314,3500,0.354450427621159,"***"
"PFHxS","idw__ind_all_equal__10km","raw","detect","A_anydetect",0.00741260910829449,0.00446760965639323,0.0970776994933864,6314,3500,0.276369971491923,"*"
"PFHxS","idw__ind_all_equal__10km","raw","tobit","A_anydetect",0.00662523140233333,0.0135403574588993,0.624632745428543,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_all_equal__10km","cov","detect","A_anydetect",0.00648070795241644,0.00385999829579258,0.0931636159644775,6314,3500,0.276369971491923,"*"
"PFHxS","idw__ind_all_equal__10km","cov","tobit","A_anydetect",0.0021257670689789,0.0101727932255162,0.834474845193768,6314,3500,0.276369971491923,""
"PFBS","idw__ind_all_equal__10km","raw","detect","A_anydetect",-0.00538426757606548,0.00397221959780707,0.175264407484616,6314,3500,0.452011403230915,""
"PFBS","idw__ind_all_equal__10km","raw","tobit","A_anydetect",-0.0241160147995751,0.00832413548060101,0.00376606333095897,6314,3500,0.452011403230915,"***"
"PFBS","idw__ind_all_equal__10km","cov","detect","A_anydetect",-0.00188351495509096,0.0038662205606638,0.626136344907168,6314,3500,0.452011403230915,""
"PFBS","idw__ind_all_equal__10km","cov","tobit","A_anydetect",-0.0189066723831777,0.00764269245310845,0.0133675709980037,6314,3500,0.452011403230915,"**"
"PFHxA","idw__ind_all_equal__10km","raw","detect","A_anydetect",0.026130004795055,0.00358182286537623,2.9828339649922e-13,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__10km","raw","tobit","A_anydetect",0.0338945734778017,0.00675692232004836,5.26831925684249e-07,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__10km","cov","detect","A_anydetect",0.0250741545420212,0.00358889340045682,2.81632214318766e-12,6314,3500,0.465473550839405,"***"
"PFHxA","idw__ind_all_equal__10km","cov","tobit","A_anydetect",0.02616690834477,0.00654914691372448,6.45665190842045e-05,6314,3500,0.465473550839405,"***"
"PFPeA","idw__ind_all_equal__10km","raw","detect","A_anydetect",0.0265753219395159,0.00371204504845522,8.11414053933738e-13,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__10km","raw","tobit","A_anydetect",0.0407496487861159,0.00748738453207979,5.2555361128372e-08,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__10km","cov","detect","A_anydetect",0.0224163905243024,0.00363406016383698,6.89779968206527e-10,6314,3500,0.541019955654102,"***"
"PFPeA","idw__ind_all_equal__10km","cov","tobit","A_anydetect",0.0279602772034766,0.00700318753736481,6.53783260623626e-05,6314,3500,0.541019955654102,"***"
"PFBA","idw__ind_all_equal__10km","raw","detect","A_anydetect",-0.00567722705415958,0.00424436315163995,0.181029407829716,6314,3500,0.432689261957555,""
"PFBA","idw__ind_all_equal__10km","raw","tobit","A_anydetect",-0.00388610003475702,0.00785338840944127,0.620719420429163,6314,3500,0.432689261957555,""
"PFBA","idw__ind_all_equal__10km","cov","detect","A_anydetect",-0.00111275351751796,0.00353407761652732,0.752864980014106,6314,3500,0.432689261957555,""
"PFBA","idw__ind_all_equal__10km","cov","tobit","A_anydetect",-0.00308012465286933,0.00687982621619974,0.654366946047903,6314,3500,0.432689261957555,""
"PFHpA","idw__ind_all_equal__10km","raw","detect","A_anydetect",0.00394910984289897,0.0027636549245954,0.153020150653727,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_all_equal__10km","raw","tobit","A_anydetect",0.0112987922530499,0.0105564745671213,0.28447587494762,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_all_equal__10km","cov","detect","A_anydetect",0.000420021919446847,0.0027781730416608,0.879828695609698,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_all_equal__10km","cov","tobit","A_anydetect",-0.00433382111129379,0.0100474689111149,0.666225086424977,6314,3500,0.13588850174216,""
"PFOS","idw__ind_all_equal__25km","raw","detect","A_anydetect",0.0115113218902751,0.00392919335031804,0.00339299360004072,6314,3500,0.360785555907507,"***"
"PFOS","idw__ind_all_equal__25km","raw","tobit","A_anydetect",0.0214117095227824,0.0116515498266491,0.0661109717470831,6314,3500,0.360785555907507,"*"
