"city","state","date.opened","date.aquired.by.arkema","tyoe.of.building","Address","zip.code","link","lon","lat"
"north kansas city","missouri","2002","2004","manufacturing","901 East 16th Avenue, North Kansas City, MO 64116 ",40258,"https://www.arkema.com/usa/en/united-states/production-centers/louisville-kt-pd/",-94.5689338,39.1370849
"paulsboro","new jersey","1985","n/a","manufacturing","2000 Nolte Avenue, NJ 08066",38127,"https://www.arkema.com/usa/en/united-states/production-centers/memphis-tn/",-75.2071998,39.8189068
"petersburg","virginia","2019","2019","manufacturing","",1949,"https://www.arkema.com/usa/en/united-states/production-centers/middleton-ma/",NA,NA
"piedmont","south carolina","1969","2022","manufacturing","",64116,"https://www.arkema.com/usa/en/united-states/production-centers/north-kansas-city-mo/",NA,NA
"pineville","louisiana","1994","2008","manufacturing","7591 Esler Field Road, Pineville, LA 71360",8066,"https://www.arkema.com/usa/en/united-states/production-centers/paulsboro-nj-pd/",-92.309377,31.397916
"radnor","pennyslvania","2024","2024","headquarters (not a production plant)","",23842,"https://www.arkema.com/usa/en/united-states/production-centers/petersburg-va-pd/",NA,NA
"soda springs","idaho","1964","2022","manufacturing","",29673,"https://www.arkema.com/usa/en/united-states/production-centers/piedmont-sc-pd/",NA,NA
"st charles","louisiana","1960","2004","manufacturing","355 Highway 3142, Hahnville, LA 70057",71360,"https://www.arkema.com/usa/en/united-states/production-centers/pineville-la/",-90.4539518,29.9843609
"temecula","california","1964","2022","manufacturing","",83276,"https://www.arkema.com/usa/en/united-states/production-centers/soda-springs-id/",NA,NA
"torrance","california","1969","2010","manufacturing","",70057,"https://www.arkema.com/usa/en/united-states/production-centers/st-charles-la/",NA,NA
"tulsa ","oklahoma","2010","2010","r&d center","",92590,"https://www.arkema.com/usa/en/united-states/production-centers/temecula-ca-pd/",NA,NA
"vanceboro","north carolina","1969","1988","manufacturing","",90503,"https://www.arkema.com/usa/en/united-states/production-centers/torrance-ca/",NA,NA
"wauwatosa","wisconsin","2015","2015","headquarters & r&d center","1301 N 113th St, WI 53226",28586,"https://www.arkema.com/usa/en/united-states/production-centers/vanceboro-nc/",-88.0542218,43.0462947
"west chester","pennyslvania","1967","2004","manufacturing","610 South Bolmar Street, West Chester, PA 19382",19382,"https://www.arkema.com/usa/en/united-states/production-centers/west-chester-pa/",-75.5888193,39.9561512
"white city","oregon","1995","2022","manufacturing","",97503,"https://www.arkema.com/usa/en/united-states/production-centers/white-city-or/",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
"","","","","","",NA,"",NA,NA
