"experiment","period","outcome","n_facilities","estimate","std.error","statistic","p.value","sig","adj.r.squared","nobs"
"A_baseline_all_equal","all_years","log_PFBS",21479,-0.0415681988491993,0.177579051793724,-0.234082784142158,0.815026698568637,"",0.470177220902853,912
"A_baseline_all_equal","all_years","log_PFNA",21479,-0.0273691399482319,0.15220272061327,-0.179820307008663,0.868753883839482,"",-1.25748180664241,19
"A_baseline_all_equal","all_years","log_PFOS",21479,0.313204891447916,0.158891718180002,1.9711844961806,0.0493667597679419,"**",0.386370512024109,841
"A_baseline_all_equal","all_years","log_PFOA",21479,0.17278416481682,0.226682631213852,0.762229394866234,0.446488082028187,"",0.302540133263156,696
"A_baseline_all_equal","all_years","log_PFHxS",21479,0.448227122764667,0.283454516213412,1.58130175081493,0.114744335564116,"",0.146096885784211,676
"A_baseline_all_equal","pre2002","log_PFBS",9511,-0.0388117086043367,0.238618853480277,-0.162651475515302,0.870865544619466,"",0.47014400430988,912
"A_baseline_all_equal","pre2002","log_PFNA",9511,-0.025285713384677,0.140616562196498,-0.179820307008663,0.868753883839482,"",-1.25748180664241,19
"A_baseline_all_equal","pre2002","log_PFOS",9511,0.446225993752349,0.199813335798188,2.23321427456193,0.0260672340923759,"**",0.387980136878166,841
"A_baseline_all_equal","pre2002","log_PFOA",9511,0.237962212636165,0.338568351646654,0.702848365710547,0.482664454537253,"",0.302349619494052,696
"A_baseline_all_equal","pre2002","log_PFHxS",9511,0.637663080439499,0.411283817236593,1.55042103218148,0.121976287202887,"",0.145854289077386,676
"B_tier1_only","all_years","log_PFBS",10245,-0.0344685372201233,0.243513172512704,-0.141546910437976,0.887500968328951,"",0.470136478842458,912
"B_tier1_only","all_years","log_PFNA",10245,-0.0257948228807198,0.143447774669171,-0.179820307008663,0.868753883839482,"",-1.25748180664241,19
"B_tier1_only","all_years","log_PFOS",10245,0.389320362888798,0.241577416493968,1.61157598478796,0.107814469681671,"",0.384477312421572,841
"B_tier1_only","all_years","log_PFOA",10245,0.695364498929012,0.404684015641595,1.71829000418157,0.0867170765925582,"*",0.307693683154405,696
"B_tier1_only","all_years","log_PFHxS",10245,0.918196340721988,0.614351009755481,1.49457936284249,0.135957240493302,"",0.145427414494957,676
"B_tier1_only","pre2002","log_PFBS",4541,-0.0435951581330817,0.348023231306616,-0.125265080636739,0.900369389482674,"",0.470131386482854,912
"B_tier1_only","pre2002","log_PFNA",4541,-0.025484853107142,0.141723999536461,-0.179820307008663,0.868753883839481,"",-1.25748180664241,19
"B_tier1_only","pre2002","log_PFOS",4541,0.646962194730877,0.296499623892488,2.18200005193082,0.029669760032795,"**",0.387650446951158,841
"B_tier1_only","pre2002","log_PFOA",4541,0.164862904616326,0.420851208088263,0.391736797822737,0.695515078720744,"",0.301602883811153,696
"B_tier1_only","pre2002","log_PFHxS",4541,0.86438094181611,0.672073370887937,1.28614073888108,0.199274272881094,"",0.143969112415966,676
"B2_epa_regulated_only","all_years","log_PFBS",9248,-0.0294653863251662,0.248279015714414,-0.118678520777846,0.905582778145207,"",0.47012950298859,912
"B2_epa_regulated_only","all_years","log_PFNA",9248,-0.0257393959074563,0.143139539330318,-0.179820307008663,0.868753883839482,"",-1.25748180664241,19
"B2_epa_regulated_only","all_years","log_PFOS",9248,0.391192436687735,0.241139728588407,1.62226456410859,0.105506116162379,"",0.384528255965305,841
"B2_epa_regulated_only","all_years","log_PFOA",9248,0.684279879657561,0.398611797460473,1.7166573694433,0.0870155547881603,"*",0.307681586251003,696
"B2_epa_regulated_only","all_years","log_PFHxS",9248,0.912869648612049,0.605347554178503,1.50800914666431,0.1324862888205,"",0.145528685451854,676
