"model","idw_coef","dist_coef","rho_lambda","AIC","moran_I","moran_p"
"OLS",0.0221463339439666,9.91529416220826e-08,NA,760.076377566175,0.241496835690279,2.04044140025477e-19
"SAR (spatial lag)",0.0117808185665831,5.52328108989064e-08,0.406564600011065,716.661919838811,NA,NA
"SEM (spatial error)",0.0115965680410515,5.84514584686111e-08,0.408288580265197,717.088720706486,NA,NA
