"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_PFPeS",673.306475683257,25.9038133956254,25.9925619984957,0.0244803092627713,0.991765144459198,16
"log_PFOA",52.0206537432469,27.0310458167269,1.92447802781853,0.0551867310477228,0.309310040215322,696
"log_PFHxA",-43.2370389690342,36.4606503432139,-1.18585484795341,0.236422545810847,0.21308520643945,790
"log_PFPeA",-45.2330622797468,42.2090255498118,-1.07164431518009,0.284461972003226,0.186351447289302,921
"log_PFOS",23.5158364525021,25.4599141652886,0.923641623449108,0.356209644244612,0.381895846760318,841
"log_6:2 FTS",2937557391.67353,3004936962.8179,0.977577043386233,0.366037127913198,-0.689298935704389,24
"log_PFNA",-0.194355246554568,1.080830356636,-0.179820307008663,0.868753883839482,-1.25748180664241,19
"log_PFHxS",1.82391070101269,25.7895327749304,0.0707229059529795,0.943660115787671,0.139792462073456,676
"log_PFHpA",-3.57726878109798,53.1919398398867,-0.0672520835274278,0.946520889960897,0.0485245163160163,238
"log_PFBA",0.105371939350778,6.34607126146454,0.0166042792476397,0.986763421876502,0.530195252762927,567
"log_PFBS",0.117744232087214,36.6230301292696,0.00321503249926639,0.997436198058456,0.470113004023442,912
