"PWSID","comid","intake_pathlength","n_upstream","n_upstream_pre2002","hydro_idw_all","hydro_idw_pre2002","nearest_up_km","ok"
"NC0351010",8785659,292.539,43,14,0.712567138055826,0.0304833579973398,4.29900000000004,TRUE
"NC0351025",8785699,290.05,0,0,0,0,NA,TRUE
"NC0351185",8784271,360.454,0,0,0,0,NA,TRUE
"NC0351195",8785699,290.05,0,0,0,0,NA,TRUE
"NC0353010",8874770,334.223,0,0,0,0,NA,TRUE
"NC0353101",8874770,334.223,0,0,0,0,NA,TRUE
"NC0363108",8875438,384.809,0,0,0,0,NA,TRUE
"NC0368020",8780581,453.716,1,0,0.319243865373125,0,11.418,TRUE
"NC0377010",9108552,283.264,0,0,0,0,NA,TRUE
"NC0377109",9165334,305.321,2,2,1.43569231243347,1.43569231243347,3.315,TRUE
"NC0378010",9129826,249.982,0,0,0,0,NA,TRUE
"NC0392020",8786311,383.65,0,0,0,0,NA,TRUE
"NC0392045",8893986,339.028,0,0,0,0,NA,TRUE
"NC0392050",8842289,314.185,0,0,0,0,NA,TRUE
"NC0392055",8842351,299.468,0,0,0,0,NA,TRUE
"NC0410035",11562770,48.559,0,0,0,0,NA,TRUE
"NC0410045",8833468,71.882,0,0,0,0,NA,TRUE
"NC0410060",166756337,23.007,2,0,0.0620989605115777,0,27.844,TRUE
"NC0442028",10511286,201.626,0,0,0,0,NA,TRUE
"NC0454010",11239515,149.612,0,0,0,0,NA,TRUE
"NC0454030",11239515,149.612,0,0,0,0,NA,TRUE
"NC0464020",8762275,223.419,1,0,0.265723230161137,0,13.253,TRUE
"NC0474015",3350779,91.951,0,0,0,0,NA,TRUE
"NC0474025",11234993,135.401,1,1,0.354410299102676,0.354410299102676,10.373,TRUE
"NC0474035",11574374,120.343,0,0,0,0,NA,TRUE
"NC0474045",3350779,91.951,0,0,0,0,NA,TRUE
"NC0496010",8790745,211.059,0,0,0,0,NA,TRUE
"NC0496055",11238851,211.484,0,0,0,0,NA,TRUE
"NC2023003",12034553,488.812,1,0,0.176664999136258,0,17.335,TRUE
"NC4051009",8785699,290.05,0,0,0,0,NA,TRUE
"NC4064005",8762275,223.419,1,0,0.265723230161137,0,13.253,TRUE
"NC5026027",8846613,217.781,0,0,0,0,NA,TRUE
"NC5063011",8875664,398.084,0,0,0,0,NA,TRUE
"NC6096001",8790551,221.148,0,0,0,0,NA,TRUE
"ND1800410",9398032,238.764,1,0,0.596664679063194,0,5.16399999999999,TRUE
"NH1471010",6731745,230.409,0,0,0,0,NA,TRUE
"NH1951010",5850902,56.593,0,0,0,0,NA,TRUE
"NH2051010",6745480,54.559,8,3,5.01153142319104,1.87932428369664,4.677,TRUE
