"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs","experiment","period","n_facilities"
"log_PFOS",0.31399486826633,0.158434757358177,1.98185596078817,0.0481546906855889,0.38643230261902,841,"F_drop_airport","all_years",20705
"log_PFOA",0.173264014682987,0.226376402600671,0.765380192866768,0.444612854535147,0.302550670475581,696,"F_drop_airport","all_years",20705
"log_PFOS",0.446800920358433,0.199803807187882,2.23619823189,0.0258695677177373,0.387999570720402,841,"F_drop_airport","pre2002",9241
"log_PFOA",0.234717002637189,0.33994221593143,0.690461471500598,0.490407666981359,0.302311812665111,696,"F_drop_airport","pre2002",9241
"log_PFOS",0.277397188912583,0.184684205133327,1.5020081912924,0.133855485191152,0.383974061044111,841,"F_drop_chemical","all_years",16844
"log_PFOA",0.142091452540589,0.342189640284984,0.41524183029694,0.678244906860408,0.301644519215525,696,"F_drop_chemical","all_years",16844
"log_PFOS",0.510233113791287,0.228537202187977,2.23260418394204,0.0261078092966713,0.387976166538661,841,"F_drop_chemical","pre2002",7482
"log_PFOA",0.326447920405862,0.388687974847185,0.839871417514798,0.401611466285857,0.302812351052967,696,"F_drop_chemical","pre2002",7482
"log_PFOS",0.309033986064506,0.15594355821295,1.98170408323313,0.0481717633585834,0.386431420955204,841,"F_drop_electronics","all_years",19645
"log_PFOA",0.181054999627433,0.227458747930778,0.79599048739393,0.426631358073978,0.302655285634171,696,"F_drop_electronics","all_years",19645
"log_PFOS",0.432459293423982,0.189603702545252,2.28085890527781,0.023062899088714,0.388293385836008,841,"F_drop_electronics","pre2002",8390
"log_PFOA",0.299210338595447,0.322326235767777,0.928284158696334,0.353964240006069,0.303154159383191,696,"F_drop_electronics","pre2002",8390
"log_PFOS",0.258816602085437,0.220010655593506,1.17638212288967,0.240116550603679,0.38268373896619,841,"F_drop_metal","all_years",15622
"log_PFOA",0.00531306913587767,0.216645531197429,0.0245242498495659,0.980449822767021,0.301267178832555,696,"F_drop_metal","all_years",15622
