"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_PFOA",4.44633400917058,1.76059985332538,2.52546539792813,0.0128256622931931,0.310479707139222,301
"log_PFOS",2.4595513725414,1.23290803713431,1.99491875992488,0.0477712797924048,0.222510204533254,349
"log_PFPeA",-1.21856808839278,1.1763447626825,-1.03589366574302,0.30179556184388,0.192496233687157,380
"log_PFHxS",2.3014254260121,2.29585106109093,1.00242801678891,0.318463575837346,0.165568260264449,217
"log_PFHxA",-0.688705634706552,1.00147868722207,-0.68768875812715,0.492778491918235,0.197391993755072,335
"log_PFBA",0.450115691281732,1.10575723267459,0.407065563743136,0.684948279818685,0.294280377451938,228
"log_PFBS",-0.238247411760868,1.1704878634406,-0.203545392654093,0.839017549937719,0.601035905324187,337
"log_PFHpA",0.136613353861137,1.89456490993694,0.0721080355413548,0.942964744595359,-0.131030194354544,91
