"PFAS","buffer","estimate","std.error","p.value"
"log_PFPeS","km1",NA,NA,NA
"log_PFPeS","km5",-0.388757863954552,0.0942884211235662,9.888445933367e-05
"log_PFPeS","km10",0.112432944478073,0.157543203684541,0.477741891148594
"log_PFPeS","km25",0.28296496506606,0.187909139019454,0.13647777621943
"log_PFPeA","km1",-0.00706333614812574,0.0330725918448475,0.83089288306818
"log_PFPeA","km5",-0.0677879456635073,0.021745438606213,0.00183802144277324
"log_PFPeA","km10",-0.157862923549887,0.0256742997356934,8.58852053648207e-10
"log_PFPeA","km25",0.0946106839739222,0.0535742315000305,0.0774774967176134
"log_8:2 FTS","km1",NA,NA,NA
"log_8:2 FTS","km5",NA,NA,NA
"log_8:2 FTS","km10",NA,NA,NA
"log_8:2 FTS","km25",NA,NA,NA
"log_6:2 FTS","km1",-1.84762023742418,0.282946961659146,7.986109806183e-10
"log_6:2 FTS","km5",-1.55955022037247,0.174084913798251,7.24300776842059e-16
"log_6:2 FTS","km10",-1.54065306667756,0.144388548037438,1.71564737507299e-20
"log_6:2 FTS","km25",0.890340733180513,0.370511541347051,0.0173841491630225
"log_PFBA","km1",-0.00337096207116936,0.0387143101984879,0.930621469272742
"log_PFBA","km5",0.126184258072723,0.0276838679257247,5.44159710222032e-06
"log_PFBA","km10",0.0979205164828938,0.0314350449217137,0.00186270718164105
"log_PFBA","km25",0.308401733293674,0.0623149710105592,8.01283231222209e-07
"log_HFPO-DA","km1",NA,NA,NA
"log_HFPO-DA","km5",NA,NA,NA
"log_HFPO-DA","km10",NA,NA,NA
"log_HFPO-DA","km25",NA,NA,NA
"log_PFBS","km1",-0.13747200794745,0.0339920251107004,5.36174935457347e-05
"log_PFBS","km5",-0.0376338516043593,0.0226715752445437,0.0970120484904279
"log_PFBS","km10",-0.159993710752359,0.0276666041807852,7.98153664710303e-09
"log_PFBS","km25",-0.185067786983383,0.0595376069143142,0.00189592820387105
"log_PFHpA","km1",0.189478920615785,0.0630089979152882,0.00270003681541974
"log_PFHpA","km5",-0.0160103236020261,0.0357036009170417,0.653940838324674
"log_PFHpA","km10",-0.160819297116812,0.0382151769681208,2.79482041408057e-05
"log_PFHpA","km25",-0.0142646646372798,0.0852326635803423,0.867118044271074
"log_PFNA","km1",0.059446878590798,0.0638699036402121,0.353295313570788
"log_PFNA","km5",0.0430854321133956,0.0532403880216584,0.419488950524264
"log_PFNA","km10",0.333403679002365,0.0469368447496732,3.1401479850438e-11
"log_PFNA","km25",NA,NA,NA
"log_PFOS","km1",0.125064542625723,0.0367152405446489,0.000665483184015597
"log_PFOS","km5",-0.298508426202246,0.0209549916171238,7.38542128497709e-45
"log_PFOS","km10",-0.353086026779559,0.0261367117653881,1.27209276457052e-40
"log_PFOS","km25",-0.214454947345845,0.0628348637289774,0.000649494541304936
"log_PFOA","km1",0.100967912483838,0.0276061558866747,0.000259350135769994
"log_PFOA","km5",0.0662012558446273,0.017160762296152,0.000116986434998177
"log_PFOA","km10",0.0409324727767415,0.021647764120018,0.0587468504410777
"log_PFOA","km25",-0.353969822113998,0.0721484798813317,9.81057876527728e-07
"log_PFDA","km1",-0.357463738269368,0.0959267379841212,0.0136212596492619
"log_PFDA","km5",0.0181735949459589,0.263533587766153,0.947693467933389
"log_PFDA","km10",0.0181735949459589,0.263533587766153,0.947693467933389
"log_PFDA","km25",0.0181735949459589,0.263533587766153,0.947693467933389
"log_PFHxA","km1",0.0440119571700021,0.0337352843897865,0.192113094292912
"log_PFHxA","km5",-0.0846655304594253,0.0217993895078759,0.000104880244410005
"log_PFHxA","km10",-0.188999143046152,0.0251358601900702,7.10805728297628e-14
"log_PFHxA","km25",0.0851680653146439,0.0521587778833941,0.102595789584756
"log_PFHxS","km1",-0.196782684932714,0.0261406716707828,6.86685194888953e-14
"log_PFHxS","km5",-0.0425123937514963,0.0225473331981248,0.059466963417011
"log_PFHxS","km10",-0.0985212374084138,0.0302506271562291,0.00113975024973356
"log_PFHxS","km25",-0.179865784341619,0.0423912917831289,2.27553017613846e-05
