"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_6:2 FTS",-0.426589787267743,0.124478971796383,-3.42700281912304,0.00137734738061961,-0.0863572311743166,165
"log_PFBA",0.0458114001356223,0.0148579308034263,3.08329610237908,0.00210128142796127,0.536826431675932,2233
"log_PFOA",0.0343225178301407,0.0142372830955608,2.41074912957532,0.0160295836347038,0.240532589498803,2850
"log_PFPeS",0.673497365625324,0.0259111574174162,25.9925619985093,0.0244803092627585,0.982490259685302,74
"log_PFOS",-0.0158256152700457,0.0133353815361063,-1.18673884411909,0.235458664349813,0.384642103703108,3664
"log_PFHpA",0.0411453810077448,0.035084136395648,1.17276311275681,0.241419635369891,-0.281382320756288,1041
"log_PFHxS",0.0243567111541682,0.0220884699909351,1.10268892160317,0.27031485599096,0.0771587210049104,2866
"log_PFHxA",0.0138917175421864,0.0162186621237584,0.856526724349029,0.391820129270491,0.0978323264922214,3218
"log_PFPeA",0.0133151860534069,0.016822337523199,0.791518184381003,0.428728939968529,0.117223226142957,3944
"log_PFBS",-0.00902415396961901,0.0135016742279829,-0.668372960067128,0.503979067360793,0.516530626544279,3513
"log_PFNA",0.019543157266905,0.135148460964977,0.144605104100812,0.885958718119314,0.130225070265548,171
"log_8:2 FTS",NA,NA,NA,NA,NA,73
"log_HFPO-DA",-0.661530998467781,NA,NA,NA,NA,19
