"compound","estimate","std.error","statistic","p.value","n","base_detect_rate_u3","new_detect_share"
"PFNA",-0.00544572526515334,0.002200190688576,-2.4751151313516,0.013382801974721,2595,0.00115606936416185,0
"PFHxS",-0.00522790863302572,0.00782436832318796,-0.66815727699481,0.504092671345039,2595,0.0138728323699422,0.00308285163776493
"PFOS",0.0072763700049932,0.0109334012177689,0.665517514638326,0.505778737737994,2595,0.0277456647398844,0.00385356454720617
"PFOA",0.00222531485664345,0.0105102803802765,0.211727449328512,0.832336311716713,2595,0.0265895953757225,0.0046242774566474
"PFHpA",0.00192265960791862,0.00981568655622582,0.195876222911695,0.844722396322558,2595,0.0219653179190751,0.0046242774566474
"PFBS",0.000330625912936953,0.00458804962412384,0.0720624099614203,0.94255779852158,2595,0.00269749518304432,0.00269749518304432
