"outcome","spec","exposure","estimate","std.error","statistic","p.value","nobs","sig"
"log_PFHxS","ols_cov","idw_tierweighted_10km",-0.0164528390063795,0.0163481101653819,-1.00640617416559,0.314661175993072,627,""
"log_PFHpA","ols_cov","idw_tierweighted_10km",0.0185385738807386,0.0237007669418213,0.782192995114699,0.435271815825071,221,""
"log_PFBA","ols_cov","idw_tierweighted_10km",-0.0133985505015295,0.0219983703914048,-0.609070138521012,0.542770365249745,546,""
"log_PFPeA","ols_cov","idw_tierweighted_10km",0.00434196592970695,0.0146965151575258,0.295441870618118,0.767735181143731,854,""
"log_PFNA","ols_cov","idw_tierweighted_10km",0.301747337953768,1.27498424886608,0.236667502537487,0.8281542111551,17,""
"log_PFHxA","ols_cov","idw_tierweighted_10km",0.000770654704665673,0.014278556353363,0.053972872718618,0.956973259745486,732,""
"log_PFOA","ols_cov","idw_tierweighted_10km",-0.000358364002719778,0.0122253958551334,-0.0293130796717148,0.976625048703136,651,""
"log_PFOS","zcta_fe","idw_tierweighted_10km",0.337070352227823,0.135605034827768,2.4856772660096,0.0133232534372433,841,"**"
"log_PFPeS","zcta_fe","idw_tierweighted_10km",1.3863224541714,0.0533353524077683,25.9925619985119,0.024480309262756,16,"**"
"log_PFOA","zcta_fe","idw_tierweighted_10km",0.205153314593398,0.143568761636304,1.42895510315192,0.153998675100912,696,""
"log_PFHxS","zcta_fe","idw_tierweighted_10km",0.345770690797414,0.271516465694094,1.27347963930474,0.20372297019045,676,""
"log_PFPeA","zcta_fe","idw_tierweighted_10km",-0.182296733948479,0.170503576049496,-1.06916663082514,0.285575502254285,921,""
"log_PFHxA","zcta_fe","idw_tierweighted_10km",-0.11335034728707,0.141489466038284,-0.801122164503755,0.423562867212409,790,""
"log_PFHpA","zcta_fe","idw_tierweighted_10km",-0.583158317964129,0.867837248166018,-0.67196737544569,0.503218443668638,238,""
"log_6:2 FTS","zcta_fe","idw_tierweighted_10km",-16.0862433107448,27.1250277648826,-0.593040621015359,0.578959233146476,24,""
"log_PFBS","zcta_fe","idw_tierweighted_10km",-0.0255976849699223,0.151957260209384,-0.16845318831526,0.866302118520164,912,""
"log_PFNA","zcta_fe","idw_tierweighted_10km",-0.0292394876745412,0.162603924778821,-0.179820307008663,0.868753883839481,19,""
"log_PFBA","zcta_fe","idw_tierweighted_10km",-0.00871255033441654,0.194325003624711,-0.0448349423486573,0.964268901563925,567,""
"log_PFPeS","ols_cov","idw_tierweighted_pre2002_10km",0.569748743968779,0.105112645301129,5.42036348087855,0.116143694304874,15,""
"log_PFHpA","ols_cov","idw_tierweighted_pre2002_10km",0.0377027788448142,0.0270217920531672,1.39527307332657,0.164891558627473,221,""
"log_PFHxS","ols_cov","idw_tierweighted_pre2002_10km",-0.0226058722406198,0.0178491505545343,-1.26649568961573,0.205869831509333,627,""
"log_6:2 FTS","ols_cov","idw_tierweighted_pre2002_10km",2.06094006224528,1.41686842177594,1.45457406670271,0.21947283664225,24,""
"log_PFOS","ols_cov","idw_tierweighted_pre2002_10km",0.015385695754404,0.0165632053108508,0.928908110818657,0.35325373930066,781,""
"log_PFBS","ols_cov","idw_tierweighted_pre2002_10km",-0.0179991523543888,0.0201458732971203,-0.893441157349163,0.371903420627273,837,""
"log_PFOA","ols_cov","idw_tierweighted_pre2002_10km",0.00361098535137735,0.0135094028844971,0.267294223308804,0.789338310261964,651,""
"log_PFPeA","ols_cov","idw_tierweighted_pre2002_10km",-0.00429737347517482,0.0165270315720219,-0.260020891014072,0.794916455559188,854,""
"log_PFNA","ols_cov","idw_tierweighted_pre2002_10km",0.42532780274239,1.79715338262387,0.236667502537489,0.828154211155099,17,""
"log_PFBA","ols_cov","idw_tierweighted_pre2002_10km",-0.00284100880480991,0.0243093585684408,-0.11686893328803,0.907013522298543,546,""
"log_PFHxA","ols_cov","idw_tierweighted_pre2002_10km",-0.000375825295508835,0.0162524620287301,-0.0231242069567351,0.981558249944872,732,""
"log_PFPeS","zcta_fe","idw_tierweighted_pre2002_10km",1.73137893456895,0.0666105532293442,25.9925619985125,0.0244803092627554,16,"**"
"log_PFOA","zcta_fe","idw_tierweighted_pre2002_10km",-0.573178627227902,0.37104096757174,-1.54478528605357,0.123392755615719,696,""
"log_PFHxS","zcta_fe","idw_tierweighted_pre2002_10km",-0.608535710409876,0.543761327549688,-1.11912282021246,0.263882420115263,676,""
"log_PFPeA","zcta_fe","idw_tierweighted_pre2002_10km",-0.182932593927213,0.265738168941088,-0.688394123644946,0.491564134007544,921,""
"log_PFOS","zcta_fe","idw_tierweighted_pre2002_10km",-0.15458404562004,0.256680772301073,-0.602242404969552,0.54734169319655,841,""
"log_6:2 FTS","zcta_fe","idw_tierweighted_pre2002_10km",17.1638770792448,28.9421609094114,0.593040621015395,0.578959233146453,24,""
"log_PFNA","zcta_fe","idw_tierweighted_pre2002_10km",-0.0290742815484151,0.161685195805023,-0.179820307008663,0.868753883839481,19,""
"log_PFHxA","zcta_fe","idw_tierweighted_pre2002_10km",-0.0221034111149988,0.220014831818103,-0.100463277554273,0.920029657413152,790,""
"log_PFBS","zcta_fe","idw_tierweighted_pre2002_10km",-0.023270138585843,0.291305340708471,-0.0798822930237007,0.936366227710856,912,""
"log_PFBA","zcta_fe","idw_tierweighted_pre2002_10km",0.0118418916889896,0.28126299669286,0.0421025582043448,0.966445135909494,567,""
"log_PFHpA","zcta_fe","idw_tierweighted_pre2002_10km",-0.0133541788692574,0.675881009542954,-0.0197581803316058,0.984277286491494,238,""
