"outcome","estimate","std.error","statistic","p.value","adj.r.squared","nobs"
"log_PFHpA",0.318436642790809,0.155343549747307,2.04988648263028,0.0420077962262305,-0.0208695668373975,223
"log_PFBA",0.136965854082254,0.0693260516023927,1.9756765446242,0.0487661254070653,0.433077856465037,551
"log_PFOA",0.0827827659994496,0.0545421735696665,1.51777533936581,0.129615899227095,0.118072813537104,655
"log_PFPeS",14.5321049342575,4.58828912860596,3.16721647806723,0.194696802573958,0.979777547552465,15
"log_6:2 FTS",-726.846248472209,693.782431347965,-1.04765732833563,0.342774899031104,-0.63726475242774,24
"log_PFHxS",-0.0124297331978523,0.0146426893771138,-0.848869553791102,0.396320523043554,0.076123628625028,629
"log_PFBS",-0.00853598350518703,0.0176328949548349,-0.484094275333189,0.628457515428013,0.0883969620229708,841
"log_PFHxA",0.0124040460619289,0.0269754519770563,0.459827181857012,0.645792164215897,0.0789510116315935,736
"log_PFOS",0.0381241744332213,0.083549038061408,0.456308957204274,0.648307174622137,0.110781298045426,785
"log_PFNA",2.4782553413728,10.4714644587939,0.236667502537487,0.8281542111551,-1.12619819416079,17
"log_PFPeA",-0.00203841037120293,0.0289960678918585,-0.070299544710863,0.943973218019011,0.113362932825448,858
